 Convergence        Position           [CO2]            [H+]         [HCO3-]         [CO3-2]           [OH-]            [K+]           Phi_2           Phi_1     RDE_Current
  True/False              um           mol/L           mol/L           mol/L           mol/L           mol/L           mol/L           Volts           Volts          mA/cm2
           T     0.00000E+00     8.75006E-01     5.53449E-04     1.40907E-03     4.74085E-10     3.28793E-11     8.55626E-04     1.63354E-01    -4.00000E-01     1.07669E+02
           T     5.00000E-01     8.72897E-01     4.32176E-04     1.80012E-03     7.75607E-10     4.21055E-11     1.36795E-03     1.47979E-01    -4.00000E-01     1.07669E+02
           T     1.50000E+00     8.67020E-01     1.82382E-04     4.23689E-03     4.32579E-09     9.97741E-11     4.05452E-03     1.22534E-01    -4.00000E-01     1.07669E+02
           T     2.50000E+00     8.59401E-01     9.10589E-05     8.41150E-03     1.72009E-08     1.99838E-10     8.32047E-03     1.04830E-01    -4.00000E-01     1.07669E+02
           T     3.50000E+00     8.51218E-01     5.77033E-05     1.31474E-02     4.24268E-08     3.15355E-10     1.30898E-02     9.33899E-02    -4.00000E-01     1.07669E+02
           T     4.50000E+00     8.42872E-01     4.16253E-05     1.80469E-02     8.07320E-08     4.37162E-10     1.80055E-02     8.52712E-02    -4.00000E-01     1.07669E+02
           T     5.50000E+00     8.34461E-01     3.23212E-05     2.30101E-02     1.32565E-07     5.63005E-10     2.29780E-02     7.90401E-02    -4.00000E-01     1.07669E+02
           T     6.50000E+00     8.26020E-01     2.62890E-05     2.80038E-02     1.98355E-07     6.92192E-10     2.79779E-02     7.40009E-02    -4.00000E-01     1.07669E+02
           T     7.50000E+00     8.17562E-01     2.20708E-05     3.30144E-02     2.78539E-07     8.24485E-10     3.29929E-02     6.97767E-02    -4.00000E-01     1.07669E+02
           T     8.50000E+00     8.09094E-01     1.89589E-05     3.80352E-02     3.73571E-07     9.59814E-10     3.80170E-02     6.61431E-02    -4.00000E-01     1.07669E+02
