        Time         Position                F                G                H
       hours               ζ                                                   
     0.00000   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   5.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   7.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   8.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   9.00000000E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   1.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   2.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.20000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.30000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.40000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.50000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.60000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.70000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.80000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   3.90000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   4.10000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
