        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s
     0.00000   0.00000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -0.00000000E+00
     0.00000   2.00000000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.20000000E-03
     0.00000   6.00000000E-02   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.08000000E-02
     0.00000   1.00000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.00000000E-02
     0.00000   1.40000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -5.88000000E-02
     0.00000   1.80000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.72000000E-02
     0.00000   2.20000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.45200000E-01
     0.00000   2.60000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.02800000E-01
     0.00000   3.00000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.70000000E-01
     0.00000   3.40000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.46800000E-01
     0.00000   3.80000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -4.33200000E-01
     0.00000   4.20000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -5.29200000E-01
     0.00000   4.60000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -6.34800000E-01
     0.00000   5.00000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -7.50000000E-01
     0.00000   5.40000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -8.74800000E-01
     0.00000   5.80000000E-01   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.00920000E+00
