 Iter      Position             C_O2             C_OH             C_Na             C_Cl              Phi            C_H2O
    #            η            mol/L            mol/L            mol/L            mol/L            Volts            mol/L
    0       0.00000   0.00000000E+00   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.35000000E+01
    0       0.06000   2.00000000E-06   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999980E+01
    0       0.12000   4.00000000E-06   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999960E+01
    0       0.18000   6.00000000E-06   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999940E+01
    0       0.24000   8.00000000E-06   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999920E+01
    0       0.30000   1.00000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999900E+01
    0       0.36000   1.20000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999880E+01
    0       0.42000   1.40000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999860E+01
    0       0.48000   1.60000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999840E+01
    0       0.54000   1.80000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999820E+01
    0       0.60000   2.00000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999800E+01
    0       0.66000   2.20000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999780E+01
    0       0.72000   2.40000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999760E+01
    0       0.78000   2.60000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999740E+01
    0       0.84000   2.80000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999720E+01
    0       0.90000   3.00000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999700E+01
    0       0.96000   3.20000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999680E+01
    0       1.02000   3.40000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999660E+01
    0       1.08000   3.60000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999640E+01
    0       1.14000   3.80000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999620E+01
    0       1.20000   4.00000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999600E+01
    0       1.26000   4.20000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999580E+01
    0       1.32000   4.40000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999560E+01
    0       1.38000   4.60000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999540E+01
    0       1.44000   4.80000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999520E+01
    0       1.50000   5.00000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999500E+01
    0       1.56000   5.20000000E-05   0.00000000E+00   1.00000000E+00   1.00000000E+00   0.00000000E+00   5.34999480E+01
