    Position             C_O2             C_OH             C_Na             C_Cl              Phi            C_H2O
          η            mol/L            mol/L            mol/L            mol/L            Volts            mol/L
     0.00000   0.00000000E+00   4.95187476E-04   1.00021429E+00   9.99719099E-01  -6.81686862E-05   5.34995714E+01
     0.06000   1.33321587E-05   4.74893461E-04   1.00020414E+00   9.99729248E-01  -6.79075573E-05   5.34995784E+01
     0.12000   2.66178918E-05   4.54626065E-04   1.00019402E+00   9.99739393E-01  -6.76456456E-05   5.34995853E+01
     0.18000   3.96734264E-05   4.34492170E-04   1.00018401E+00   9.99749516E-01  -6.73798459E-05   5.34995923E+01
     0.24000   5.25045056E-05   4.14490501E-04   1.00017411E+00   9.99759617E-01  -6.71102025E-05   5.34995993E+01
     0.30000   6.49367066E-05   3.94725840E-04   1.00016440E+00   9.99769675E-01  -6.68336828E-05   5.34996063E+01
     0.36000   7.69884099E-05   3.75194009E-04   1.00015488E+00   9.99779686E-01  -6.65504308E-05   5.34996133E+01
     0.42000   8.85006903E-05   3.55996124E-04   1.00014563E+00   9.99789629E-01  -6.62575389E-05   5.34996202E+01
     0.48000   9.95097731E-05   3.37123631E-04   1.00013662E+00   9.99799497E-01  -6.59552990E-05   5.34996272E+01
     0.54000   1.09876349E-04   3.18672608E-04   1.00012794E+00   9.99809264E-01  -6.56409709E-05   5.34996343E+01
     0.60000   1.19657420E-04   3.00628869E-04   1.00011955E+00   9.99818920E-01  -6.53150311E-05   5.34996412E+01
     0.66000   1.28734991E-04   2.83082339E-04   1.00011152E+00   9.99828437E-01  -6.49749381E-05   5.34996482E+01
     0.72000   1.37187307E-04   2.66012233E-04   1.00010381E+00   9.99837803E-01  -6.46213774E-05   5.34996552E+01
     0.78000   1.44916983E-04   2.49501504E-04   1.00009649E+00   9.99846987E-01  -6.42520241E-05   5.34996621E+01
     0.84000   1.52021732E-04   2.33522116E-04   1.00008950E+00   9.99855978E-01  -6.38677848E-05   5.34996690E+01
     0.90000   1.58422063E-04   2.18149569E-04   1.00008290E+00   9.99864745E-01  -6.34665572E-05   5.34996758E+01
