        Time         Position             C_O2             C_OH             C_Na             C_Cl              Phi         Velocity               Xi             Zeta
       hours               cm          mol/cm3          mol/cm3          mol/cm3          mol/cm3            Volts             cm/s                                  
     0.00000   0.00000000E+00   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -0.00000000E+00   0.00000000E+00   0.00000000E+00
     0.00000   6.38000000E-05   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -7.86878196E-06   2.03013840E-02   4.61657600E-03
     0.00000   1.91400000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -7.08190376E-05   6.09041521E-02   1.38497280E-02
     0.00000   3.19000000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.96719549E-04   1.01506920E-01   2.30828800E-02
     0.00000   4.46600000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -3.85570316E-04   1.42109688E-01   3.23160320E-02
     0.00000   5.74200000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -6.37371339E-04   1.82712456E-01   4.15491840E-02
     0.00000   7.01800000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -9.52122617E-04   2.23315224E-01   5.07823360E-02
     0.00000   8.29400000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.32982415E-03   2.63917992E-01   6.00154881E-02
     0.00000   9.57000000E-04   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -1.77047594E-03   3.04520760E-01   6.92486401E-02
     0.00000   1.08460000E-03   2.00000000E-07   0.00000000E+00   1.00000000E-03   1.00000000E-03   0.00000000E+00  -2.27407799E-03   3.45123528E-01   7.84817921E-02
