        Time        Position            Conc        Velocity              Xi            Zeta
       hours              cm         mol/cm3            cm/s                                
     0.00000     0.00000E+00     1.00000E-03    -0.00000E+00
     0.00000     1.16000E-05     1.00000E-03    -2.60125E-07
     0.00000     3.48000E-05     1.00000E-03    -2.34113E-06
     0.00000     5.80000E-05     1.00000E-03    -6.50313E-06
     0.00000     8.12000E-05     1.00000E-03    -1.27461E-05
     0.00000     1.04400E-04     1.00000E-03    -2.10701E-05
     0.00000     1.27600E-04     1.00000E-03    -3.14751E-05
     0.00000     1.50800E-04     1.00000E-03    -4.39611E-05
     0.00000     1.74000E-04     1.00000E-03    -5.85281E-05
     0.00000     1.97200E-04     1.00000E-03    -7.51761E-05
     0.00000     2.20400E-04     1.00000E-03    -9.39051E-05
     0.00000     2.43600E-04     1.00000E-03    -1.14715E-04
     0.00000     2.66800E-04     1.00000E-03    -1.37606E-04
     0.00000     2.90000E-04     1.00000E-03    -1.62578E-04
     0.00000     3.13200E-04     1.00000E-03    -1.89631E-04
     0.00000     3.36400E-04     1.00000E-03    -2.18765E-04
     0.00000     3.59600E-04     1.00000E-03    -2.49980E-04
     0.00000     3.82800E-04     1.00000E-03    -2.83276E-04
     0.00000     4.06000E-04     1.00000E-03    -3.18653E-04
     0.00000     4.29200E-04     1.00000E-03    -3.56111E-04
     0.00000     4.52400E-04     1.00000E-03    -3.95650E-04
     0.00000     4.75600E-04     1.00000E-03    -4.37270E-04
     0.00000     4.98800E-04     1.00000E-03    -4.80971E-04
     0.00000     5.22000E-04     1.00000E-03    -5.26753E-04
     0.00000     5.45200E-04     1.00000E-03    -5.74616E-04
     0.00000     5.68400E-04     1.00000E-03    -6.24560E-04
     0.00000     5.91600E-04     1.00000E-03    -6.76585E-04
     0.00000     6.14800E-04     1.00000E-03    -7.30691E-04
     0.00000     6.38000E-04     1.00000E-03    -7.86878E-04
     0.00000     6.61200E-04     1.00000E-03    -8.45146E-04
     0.00000     6.84400E-04     1.00000E-03    -9.05495E-04
     0.00000     7.07600E-04     1.00000E-03    -9.67925E-04
     0.00000     7.30800E-04     1.00000E-03    -1.03244E-03
     0.00000     7.54000E-04     1.00000E-03    -1.09903E-03
     0.00000     7.77200E-04     1.00000E-03    -1.16770E-03
     0.00000     8.00400E-04     1.00000E-03    -1.23846E-03
     0.00000     8.23600E-04     1.00000E-03    -1.31129E-03
     0.00000     8.46800E-04     1.00000E-03    -1.38621E-03
     0.00000     8.70000E-04     1.00000E-03    -1.46320E-03
     0.00000     8.93200E-04     1.00000E-03    -1.54228E-03
     0.00000     9.16400E-04     1.00000E-03    -1.62344E-03
     0.00000     9.39600E-04     1.00000E-03    -1.70668E-03
     0.00000     9.62800E-04     1.00000E-03    -1.79200E-03
     0.00000     9.86000E-04     1.00000E-03    -1.87940E-03
     0.00000     1.00920E-03     1.00000E-03    -1.96889E-03
     0.00000     1.03240E-03     1.00000E-03    -2.06045E-03
     0.00000     1.05560E-03     1.00000E-03    -2.15410E-03
     0.00000     1.07880E-03     1.00000E-03    -2.24982E-03
     0.00000     1.10200E-03     1.00000E-03    -2.34763E-03
     0.00000     1.12520E-03     1.00000E-03    -2.44752E-03
     0.00000     1.14840E-03     1.00000E-03    -2.54949E-03
     0.00000     1.17160E-03     1.00000E-03    -2.65354E-03
     0.00000     1.19480E-03     1.00000E-03    -2.75967E-03
     0.00000     1.21800E-03     1.00000E-03    -2.86788E-03
     0.00000     1.24120E-03     1.00000E-03    -2.97817E-03
     0.00000     1.26440E-03     1.00000E-03    -3.09055E-03
     0.00000     1.28760E-03     1.00000E-03    -3.20500E-03
     0.00000     1.31080E-03     1.00000E-03    -3.32154E-03
     0.00000     1.33400E-03     1.00000E-03    -3.44015E-03
     0.00000     1.35720E-03     1.00000E-03    -3.56085E-03
     0.00000     1.38040E-03     1.00000E-03    -3.68363E-03
     0.00000     1.40360E-03     1.00000E-03    -3.80849E-03
     0.00000     1.42680E-03     1.00000E-03    -3.93543E-03
     0.00000     1.45000E-03     1.00000E-03    -4.06445E-03
     0.00000     1.47320E-03     1.00000E-03    -4.19556E-03
     0.00000     1.49640E-03     1.00000E-03    -4.32874E-03
     0.00000     1.51960E-03     1.00000E-03    -4.46401E-03
     0.00000     1.54280E-03     1.00000E-03    -4.60135E-03
     0.00000     1.56600E-03     1.00000E-03    -4.74078E-03
     0.00000     1.58920E-03     1.00000E-03    -4.88229E-03
     0.00000     1.61240E-03     1.00000E-03    -5.02588E-03
     0.00000     1.63560E-03     1.00000E-03    -5.17155E-03
     0.00000     1.65880E-03     1.00000E-03    -5.31930E-03
     0.00000     1.68200E-03     1.00000E-03    -5.46913E-03
     0.00000     1.70520E-03     1.00000E-03    -5.62104E-03
     0.00000     1.72840E-03     1.00000E-03    -5.77504E-03
     0.00000     1.75160E-03     1.00000E-03    -5.93111E-03
     0.00000     1.77480E-03     1.00000E-03    -6.08927E-03
     0.00000     1.79800E-03     1.00000E-03    -6.24950E-03
     0.00000     1.82120E-03     1.00000E-03    -6.41182E-03
     0.00000     1.84440E-03     1.00000E-03    -6.57622E-03
     0.00000     1.86760E-03     1.00000E-03    -6.74270E-03
     0.00000     1.89080E-03     1.00000E-03    -6.91126E-03
     0.00000     1.91400E-03     1.00000E-03    -7.08190E-03
     0.00000     1.93720E-03     1.00000E-03    -7.25463E-03
     0.00000     1.96040E-03     1.00000E-03    -7.42943E-03
     0.00000     1.98360E-03     1.00000E-03    -7.60632E-03
     0.00000     2.00680E-03     1.00000E-03    -7.78528E-03
     0.00000     2.03000E-03     1.00000E-03    -7.96633E-03
     0.00000     2.05320E-03     1.00000E-03    -8.14946E-03
     0.00000     2.07640E-03     1.00000E-03    -8.33467E-03
     0.00000     2.09960E-03     1.00000E-03    -8.52196E-03
     0.00000     2.12280E-03     1.00000E-03    -8.71133E-03
     0.00000     2.14600E-03     1.00000E-03    -8.90278E-03
     0.00000     2.16920E-03     1.00000E-03    -9.09631E-03
     0.00000     2.19240E-03     1.00000E-03    -9.29193E-03
     0.00000     2.21560E-03     1.00000E-03    -9.48962E-03
     0.00000     2.23880E-03     1.00000E-03    -9.68940E-03
     0.00000     2.26200E-03     1.00000E-03    -9.89125E-03
     0.00000     2.28520E-03     1.00000E-03    -1.00952E-02
     0.00000     2.30840E-03     1.00000E-03    -1.03012E-02
     0.00000     2.32000E-03     1.00000E-03    -1.04050E-02
     0.55556     0.00000E+00     0.00000E+00    -0.00000E+00
     0.55556     1.16000E-05     1.11701E-05    -2.60125E-07
     0.55556     3.48000E-05     3.35104E-05    -2.34113E-06
     0.55556     5.80000E-05     5.58502E-05    -6.50313E-06
     0.55556     8.12000E-05     7.81878E-05    -1.27461E-05
     0.55556     1.04400E-04     1.00520E-04    -2.10701E-05
     0.55556     1.27600E-04     1.22845E-04    -3.14751E-05
     0.55556     1.50800E-04     1.45155E-04    -4.39611E-05
     0.55556     1.74000E-04     1.67446E-04    -5.85281E-05
     0.55556     1.97200E-04     1.89711E-04    -7.51761E-05
     0.55556     2.20400E-04     2.11942E-04    -9.39051E-05
     0.55556     2.43600E-04     2.34129E-04    -1.14715E-04
     0.55556     2.66800E-04     2.56262E-04    -1.37606E-04
     0.55556     2.90000E-04     2.78331E-04    -1.62578E-04
     0.55556     3.13200E-04     3.00323E-04    -1.89631E-04
     0.55556     3.36400E-04     3.22226E-04    -2.18765E-04
     0.55556     3.59600E-04     3.44024E-04    -2.49980E-04
     0.55556     3.82800E-04     3.65705E-04    -2.83276E-04
     0.55556     4.06000E-04     3.87251E-04    -3.18653E-04
     0.55556     4.29200E-04     4.08647E-04    -3.56111E-04
     0.55556     4.52400E-04     4.29876E-04    -3.95650E-04
     0.55556     4.75600E-04     4.50920E-04    -4.37270E-04
     0.55556     4.98800E-04     4.71760E-04    -4.80971E-04
     0.55556     5.22000E-04     4.92379E-04    -5.26753E-04
     0.55556     5.45200E-04     5.12757E-04    -5.74616E-04
     0.55556     5.68400E-04     5.32874E-04    -6.24560E-04
     0.55556     5.91600E-04     5.52712E-04    -6.76585E-04
     0.55556     6.14800E-04     5.72250E-04    -7.30691E-04
     0.55556     6.38000E-04     5.91470E-04    -7.86878E-04
     0.55556     6.61200E-04     6.10352E-04    -8.45146E-04
     0.55556     6.84400E-04     6.28876E-04    -9.05495E-04
     0.55556     7.07600E-04     6.47024E-04    -9.67925E-04
     0.55556     7.30800E-04     6.64778E-04    -1.03244E-03
     0.55556     7.54000E-04     6.82119E-04    -1.09903E-03
     0.55556     7.77200E-04     6.99033E-04    -1.16770E-03
     0.55556     8.00400E-04     7.15501E-04    -1.23846E-03
     0.55556     8.23600E-04     7.31510E-04    -1.31129E-03
     0.55556     8.46800E-04     7.47046E-04    -1.38621E-03
     0.55556     8.70000E-04     7.62096E-04    -1.46320E-03
     0.55556     8.93200E-04     7.76648E-04    -1.54228E-03
     0.55556     9.16400E-04     7.90693E-04    -1.62344E-03
     0.55556     9.39600E-04     8.04222E-04    -1.70668E-03
     0.55556     9.62800E-04     8.17229E-04    -1.79200E-03
     0.55556     9.86000E-04     8.29708E-04    -1.87940E-03
     0.55556     1.00920E-03     8.41656E-04    -1.96889E-03
     0.55556     1.03240E-03     8.53070E-04    -2.06045E-03
     0.55556     1.05560E-03     8.63951E-04    -2.15410E-03
     0.55556     1.07880E-03     8.74300E-04    -2.24982E-03
     0.55556     1.10200E-03     8.84120E-04    -2.34763E-03
     0.55556     1.12520E-03     8.93417E-04    -2.44752E-03
     0.55556     1.14840E-03     9.02197E-04    -2.54949E-03
     0.55556     1.17160E-03     9.10468E-04    -2.65354E-03
     0.55556     1.19480E-03     9.18239E-04    -2.75967E-03
     0.55556     1.21800E-03     9.25523E-04    -2.86788E-03
     0.55556     1.24120E-03     9.32331E-04    -2.97817E-03
     0.55556     1.26440E-03     9.38678E-04    -3.09055E-03
     0.55556     1.28760E-03     9.44578E-04    -3.20500E-03
     0.55556     1.31080E-03     9.50047E-04    -3.32154E-03
     0.55556     1.33400E-03     9.55102E-04    -3.44015E-03
     0.55556     1.35720E-03     9.59760E-04    -3.56085E-03
