        Time        Position      Delta_Conc
       hours              cm         mol/cm3
     0.00000     0.00000E+00    -1.00000E-03
     0.00000     5.00000E-03    -9.95000E-04
     0.00000     1.50000E-02    -9.85000E-04
     0.00000     2.50000E-02    -9.75000E-04
     0.00000     3.50000E-02    -9.65000E-04
     0.00000     4.50000E-02    -9.55000E-04
     0.00000     5.50000E-02    -9.45000E-04
     0.00000     6.50000E-02    -9.35000E-04
     0.00000     7.50000E-02    -9.25000E-04
     0.00000     8.50000E-02    -9.15000E-04
     0.00000     9.50000E-02    -9.05000E-04
     0.00000     1.05000E-01    -8.95000E-04
     0.00000     1.15000E-01    -8.85000E-04
     0.00000     1.25000E-01    -8.75000E-04
     0.00000     1.35000E-01    -8.65000E-04
     0.00000     1.45000E-01    -8.55000E-04
     0.00000     1.55000E-01    -8.45000E-04
     0.00000     1.65000E-01    -8.35000E-04
     0.00000     1.75000E-01    -8.25000E-04
     0.00000     1.85000E-01    -8.15000E-04
     0.00000     1.95000E-01    -8.05000E-04
     0.00000     2.05000E-01    -7.95000E-04
     0.00000     2.15000E-01    -7.85000E-04
     0.00000     2.25000E-01    -7.75000E-04
     0.00000     2.35000E-01    -7.65000E-04
     0.00000     2.45000E-01    -7.55000E-04
     0.00000     2.55000E-01    -7.45000E-04
     0.00000     2.65000E-01    -7.35000E-04
     0.00000     2.75000E-01    -7.25000E-04
     0.00000     2.85000E-01    -7.15000E-04
     0.00000     2.95000E-01    -7.05000E-04
     0.00000     3.05000E-01    -6.95000E-04
     0.00000     3.15000E-01    -6.85000E-04
     0.00000     3.25000E-01    -6.75000E-04
     0.00000     3.35000E-01    -6.65000E-04
     0.00000     3.45000E-01    -6.55000E-04
     0.00000     3.55000E-01    -6.45000E-04
     0.00000     3.65000E-01    -6.35000E-04
     0.00000     3.75000E-01    -6.25000E-04
     0.00000     3.85000E-01    -6.15000E-04
     0.00000     3.95000E-01    -6.05000E-04
     0.00000     4.05000E-01    -5.95000E-04
     0.00000     4.15000E-01    -5.85000E-04
     0.00000     4.25000E-01    -5.75000E-04
     0.00000     4.35000E-01    -5.65000E-04
     0.00000     4.45000E-01    -5.55000E-04
     0.00000     4.55000E-01    -5.45000E-04
     0.00000     4.65000E-01    -5.35000E-04
     0.00000     4.75000E-01    -5.25000E-04
     0.00000     4.85000E-01    -5.15000E-04
     0.00000     4.95000E-01    -5.05000E-04
     0.00000     5.05000E-01    -4.95000E-04
     0.00000     5.15000E-01    -4.85000E-04
     0.00000     5.25000E-01    -4.75000E-04
     0.00000     5.35000E-01    -4.65000E-04
     0.00000     5.45000E-01    -4.55000E-04
     0.00000     5.55000E-01    -4.45000E-04
     0.00000     5.65000E-01    -4.35000E-04
     0.00000     5.75000E-01    -4.25000E-04
     0.00000     5.85000E-01    -4.15000E-04
     0.00000     5.95000E-01    -4.05000E-04
     0.00000     6.05000E-01    -3.95000E-04
     0.00000     6.15000E-01    -3.85000E-04
     0.00000     6.25000E-01    -3.75000E-04
     0.00000     6.35000E-01    -3.65000E-04
     0.00000     6.45000E-01    -3.55000E-04
     0.00000     6.55000E-01    -3.45000E-04
     0.00000     6.65000E-01    -3.35000E-04
     0.00000     6.75000E-01    -3.25000E-04
     0.00000     6.85000E-01    -3.15000E-04
     0.00000     6.95000E-01    -3.05000E-04
     0.00000     7.05000E-01    -2.95000E-04
     0.00000     7.15000E-01    -2.85000E-04
     0.00000     7.25000E-01    -2.75000E-04
     0.00000     7.35000E-01    -2.65000E-04
     0.00000     7.45000E-01    -2.55000E-04
     0.00000     7.55000E-01    -2.45000E-04
     0.00000     7.65000E-01    -2.35000E-04
     0.00000     7.75000E-01    -2.25000E-04
     0.00000     7.85000E-01    -2.15000E-04
     0.00000     7.95000E-01    -2.05000E-04
     0.00000     8.05000E-01    -1.95000E-04
     0.00000     8.15000E-01    -1.85000E-04
     0.00000     8.25000E-01    -1.75000E-04
     0.00000     8.35000E-01    -1.65000E-04
     0.00000     8.45000E-01    -1.55000E-04
     0.00000     8.55000E-01    -1.45000E-04
     0.00000     8.65000E-01    -1.35000E-04
     0.00000     8.75000E-01    -1.25000E-04
     0.00000     8.85000E-01    -1.15000E-04
     0.00000     8.95000E-01    -1.05000E-04
     0.00000     9.05000E-01    -9.50000E-05
     0.00000     9.15000E-01    -8.50000E-05
     0.00000     9.25000E-01    -7.50000E-05
     0.00000     9.35000E-01    -6.50000E-05
     0.00000     9.45000E-01    -5.50000E-05
     0.00000     9.55000E-01    -4.50000E-05
     0.00000     9.65000E-01    -3.50000E-05
     0.00000     9.75000E-01    -2.50000E-05
     0.00000     9.85000E-01    -1.50000E-05
     0.00000     9.95000E-01    -5.00000E-06
     0.00000     1.00000E+00     0.00000E+00
     0.01667     0.00000E+00    -9.72127E-04
     0.01667     5.00000E-03    -9.72127E-04
     0.01667     1.50000E-02    -9.69834E-04
     0.01667     2.50000E-02    -9.65440E-04
     0.01667     3.50000E-02    -9.59279E-04
     0.01667     4.50000E-02    -9.51752E-04
     0.01667     5.50000E-02    -9.43250E-04
     0.01667     6.50000E-02    -9.34105E-04
     0.01667     7.50000E-02    -9.24565E-04
     0.01667     8.50000E-02    -9.14798E-04
     0.01667     9.50000E-02    -9.04911E-04
     0.01667     1.05000E-01    -8.94962E-04
     0.01667     1.15000E-01    -8.84985E-04
     0.01667     1.25000E-01    -8.74994E-04
     0.01667     1.35000E-01    -8.64998E-04
     0.01667     1.45000E-01    -8.54999E-04
     0.01667     1.55000E-01    -8.45000E-04
     0.01667     1.65000E-01    -8.35000E-04
     0.01667     1.75000E-01    -8.25000E-04
     0.01667     1.85000E-01    -8.15000E-04
     0.01667     1.95000E-01    -8.05000E-04
     0.01667     2.05000E-01    -7.95000E-04
     0.01667     2.15000E-01    -7.85000E-04
     0.01667     2.25000E-01    -7.75000E-04
     0.01667     2.35000E-01    -7.65000E-04
     0.01667     2.45000E-01    -7.55000E-04
     0.01667     2.55000E-01    -7.45000E-04
     0.01667     2.65000E-01    -7.35000E-04
     0.01667     2.75000E-01    -7.25000E-04
     0.01667     2.85000E-01    -7.15000E-04
     0.01667     2.95000E-01    -7.05000E-04
     0.01667     3.05000E-01    -6.95000E-04
     0.01667     3.15000E-01    -6.85000E-04
     0.01667     3.25000E-01    -6.75000E-04
     0.01667     3.35000E-01    -6.65000E-04
     0.01667     3.45000E-01    -6.55000E-04
     0.01667     3.55000E-01    -6.45000E-04
     0.01667     3.65000E-01    -6.35000E-04
     0.01667     3.75000E-01    -6.25000E-04
     0.01667     3.85000E-01    -6.15000E-04
     0.01667     3.95000E-01    -6.05000E-04
     0.01667     4.05000E-01    -5.95000E-04
     0.01667     4.15000E-01    -5.85000E-04
     0.01667     4.25000E-01    -5.75000E-04
     0.01667     4.35000E-01    -5.65000E-04
     0.01667     4.45000E-01    -5.55000E-04
     0.01667     4.55000E-01    -5.45000E-04
