        Time     Position            Conc
       hours           um           mol/L
     0.00000      0.00000     1.00000E+00
     0.00000      0.02500     1.00000E+00
     0.00000      0.07500     1.00000E+00
     0.00000      0.12500     1.00000E+00
     0.00000      0.17500     1.00000E+00
     0.00000      0.22500     1.00000E+00
     0.00000      0.27500     1.00000E+00
     0.00000      0.32500     1.00000E+00
     0.00000      0.37500     1.00000E+00
     0.00000      0.42500     1.00000E+00
     0.00000      0.47500     1.00000E+00
     0.00000      0.52500     1.00000E+00
     0.00000      0.57500     1.00000E+00
     0.00000      0.62500     1.00000E+00
     0.00000      0.67500     1.00000E+00
     0.00000      0.72500     1.00000E+00
     0.00000      0.77500     1.00000E+00
     0.00000      0.82500     1.00000E+00
     0.00000      0.87500     1.00000E+00
     0.00000      0.92500     1.00000E+00
     0.00000      0.97500     1.00000E+00
     0.00000      1.00000     1.00000E+00
     0.10000      0.00000     1.00000E+00
     0.10000      0.02500     9.99828E-01
     0.10000      0.07500     9.99415E-01
     0.10000      0.12500     9.98777E-01
     0.10000      0.17500     9.97695E-01
     0.10000      0.22500     9.95851E-01
     0.10000      0.27500     9.92765E-01
     0.10000      0.32500     9.87739E-01
     0.10000      0.37500     9.79796E-01
     0.10000      0.42500     9.67630E-01
     0.10000      0.47500     9.49578E-01
     0.10000      0.52500     9.23645E-01
     0.10000      0.57500     8.87596E-01
     0.10000      0.62500     8.39127E-01
     0.10000      0.67500     7.76124E-01
     0.10000      0.72500     6.96974E-01
     0.10000      0.77500     6.00912E-01
     0.10000      0.82500     4.88310E-01
     0.10000      0.87500     3.60864E-01
     0.10000      0.92500     2.21611E-01
     0.10000      0.97500     7.47470E-02
     0.10000      1.00000     0.00000E+00
     0.20000      0.00000     1.00000E+00
     0.20000      0.02500     9.96708E-01
     0.20000      0.07500     9.89791E-01
     0.20000      0.12500     9.81865E-01
     0.20000      0.17500     9.72228E-01
     0.20000      0.22500     9.60138E-01
     0.20000      0.27500     9.44810E-01
     0.20000      0.32500     9.25414E-01
     0.20000      0.37500     9.01097E-01
     0.20000      0.42500     8.71004E-01
     0.20000      0.47500     8.34321E-01
     0.20000      0.52500     7.90318E-01
     0.20000      0.57500     7.38408E-01
     0.20000      0.62500     6.78206E-01
     0.20000      0.67500     6.09576E-01
     0.20000      0.72500     5.32682E-01
     0.20000      0.77500     4.48014E-01
     0.20000      0.82500     3.56399E-01
     0.20000      0.87500     2.58985E-01
     0.20000      0.92500     1.57204E-01
     0.20000      0.97500     5.27083E-02
     0.20000      1.00000     0.00000E+00
     0.30000      0.00000     1.00000E+00
     0.30000      0.02500     9.91537E-01
     0.30000      0.07500     9.74257E-01
     0.30000      0.12500     9.55918E-01
     0.30000      0.17500     9.35826E-01
     0.30000      0.22500     9.13309E-01
     0.30000      0.27500     8.87723E-01
     0.30000      0.32500     8.58468E-01
     0.30000      0.37500     8.25001E-01
     0.30000      0.42500     7.86855E-01
     0.30000      0.47500     7.43651E-01
     0.30000      0.52500     6.95120E-01
     0.30000      0.57500     6.41119E-01
     0.30000      0.62500     5.81642E-01
     0.30000      0.67500     5.16836E-01
     0.30000      0.72500     4.46999E-01
     0.30000      0.77500     3.72585E-01
     0.30000      0.82500     2.94194E-01
