        Time     Position            Conc
       hours           cm           mol/L
     0.00000      0.46248     1.00000E+00
     0.00000      0.47498     1.00000E+00
     0.00000      0.49998     1.00000E+00
     0.00000      0.52498     1.00000E+00
     0.00000      0.54998     1.00000E+00
     0.00000      0.57498     1.00000E+00
     0.00000      0.59998     1.00000E+00
     0.00000      0.62498     1.00000E+00
     0.00000      0.64998     1.00000E+00
     0.00000      0.67498     1.00000E+00
     0.00000      0.69998     1.00000E+00
     0.00000      0.72498     1.00000E+00
     0.00000      0.74998     1.00000E+00
     0.00000      0.77498     1.00000E+00
     0.00000      0.79998     1.00000E+00
     0.00000      0.82498     1.00000E+00
     0.00000      0.84998     1.00000E+00
     0.00000      0.87498     1.00000E+00
     0.00000      0.89998     1.00000E+00
     0.00000      0.92498     1.00000E+00
     0.00000      0.94998     1.00000E+00
     0.00000      0.97498     1.00000E+00
     0.00000      0.99998     1.00000E+00
     0.00000      1.02498     1.00000E+00
     0.00000      1.04998     1.00000E+00
     0.00000      1.07498     1.00000E+00
     0.00000      1.09998     1.00000E+00
     0.00000      1.12498     1.00000E+00
     0.00000      1.14998     1.00000E+00
     0.00000      1.17498     1.00000E+00
     0.00000      1.19998     1.00000E+00
     0.00000      1.22498     1.00000E+00
     0.00000      1.24998     1.00000E+00
     0.00000      1.27498     1.00000E+00
     0.00000      1.29998     1.00000E+00
     0.00000      1.32498     1.00000E+00
     0.00000      1.34998     1.00000E+00
     0.00000      1.37498     1.00000E+00
     0.00000      1.39998     1.00000E+00
     0.00000      1.42498     1.00000E+00
     0.00000      1.44998     1.00000E+00
     0.00000      1.46248     1.00000E+00
     0.10000      0.46248     1.00000E+00
     0.10000      0.47498     1.00000E+00
     0.10000      0.49998     1.00000E+00
     0.10000      0.52498     1.00000E+00
     0.10000      0.54998     1.00000E+00
     0.10000      0.57498     1.00000E+00
     0.10000      0.59998     1.00000E+00
     0.10000      0.62498     1.00000E+00
     0.10000      0.64998     1.00000E+00
