        Time     Position            Conc
       hours           um           mol/L
     0.00000      0.00000     1.00000E+00
     0.00000      0.01250     1.00000E+00
     0.00000      0.03750     1.00000E+00
     0.00000      0.06250     1.00000E+00
     0.00000      0.08750     1.00000E+00
     0.00000      0.11250     1.00000E+00
     0.00000      0.13750     1.00000E+00
     0.00000      0.16250     1.00000E+00
     0.00000      0.18750     1.00000E+00
     0.00000      0.21250     1.00000E+00
     0.00000      0.23750     1.00000E+00
     0.00000      0.26250     1.00000E+00
     0.00000      0.28750     1.00000E+00
     0.00000      0.31250     1.00000E+00
     0.00000      0.33750     1.00000E+00
     0.00000      0.36250     1.00000E+00
     0.00000      0.38750     1.00000E+00
     0.00000      0.41250     1.00000E+00
     0.00000      0.43750     1.00000E+00
     0.00000      0.46250     1.00000E+00
     0.00000      0.48750     1.00000E+00
     0.00000      0.51250     1.00000E+00
     0.00000      0.53750     1.00000E+00
     0.00000      0.56250     1.00000E+00
     0.00000      0.58750     1.00000E+00
     0.00000      0.61250     1.00000E+00
     0.00000      0.63750     1.00000E+00
     0.00000      0.66250     1.00000E+00
     0.00000      0.68750     1.00000E+00
     0.00000      0.71250     1.00000E+00
     0.00000      0.73750     1.00000E+00
     0.00000      0.76250     1.00000E+00
     0.00000      0.78750     1.00000E+00
     0.00000      0.81250     1.00000E+00
     0.00000      0.83750     1.00000E+00
     0.00000      0.86250     1.00000E+00
     0.00000      0.88750     1.00000E+00
     0.00000      0.91250     1.00000E+00
     0.00000      0.93750     1.00000E+00
     0.00000      0.96250     1.00000E+00
     0.00000      0.98750     1.00000E+00
     0.00000      1.00000     1.00000E+00
     0.10000      0.00000     1.00000E+00
     0.10000      0.01250     1.00000E+00
     0.10000      0.03750     1.00000E+00
     0.10000      0.06250     1.00000E+00
     0.10000      0.08750     1.00000E+00
     0.10000      0.11250     1.00000E+00
     0.10000      0.13750     1.00000E+00
     0.10000      0.16250     1.00000E+00
     0.10000      0.18750     1.00000E+00
     0.10000      0.21250     1.00000E+00
     0.10000      0.23750     1.00000E+00
     0.10000      0.26250     1.00000E+00
     0.10000      0.28750     1.00000E+00
     0.10000      0.31250     1.00000E+00
     0.10000      0.33750     1.00000E+00
     0.10000      0.36250     1.00000E+00
     0.10000      0.38750     1.00000E+00
     0.10000      0.41250     1.00000E+00
     0.10000      0.43750     1.00000E+00
     0.10000      0.46250     1.00000E+00
     0.10000      0.48750     1.00000E+00
     0.10000      0.51250     1.00000E+00
     0.10000      0.53750     1.00000E+00
     0.10000      0.56250     9.99999E-01
     0.10000      0.58750     9.99996E-01
     0.10000      0.61250     9.99988E-01
     0.10000      0.63750     9.99961E-01
     0.10000      0.66250     9.99886E-01
     0.10000      0.68750     9.99678E-01
     0.10000      0.71250     9.99140E-01
     0.10000      0.73750     9.97823E-01
     0.10000      0.76250     9.94790E-01
     0.10000      0.78750     9.88245E-01
     0.10000      0.81250     9.75035E-01
     0.10000      0.83750     9.50203E-01
     0.10000      0.86250     9.06865E-01
     0.10000      0.88750     8.36899E-01
     0.10000      0.91250     7.32762E-01
     0.10000      0.93750     5.90324E-01
     0.10000      0.96250     4.11775E-01
     0.10000      0.98750     2.07113E-01
     0.10000      1.00000     1.00000E-01
