        Time         Position             ω_e              vel
       hours               cm                -             cm/s
     0.00000   0.00000000E+00   3.00000000E-01   0.00000000E+00
     0.00000   5.00000000E-02   3.00000000E-01   0.00000000E+00
     0.00000   1.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   1.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   2.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   2.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   3.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   3.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   4.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   4.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   5.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   5.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   6.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   6.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   7.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   7.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   8.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   8.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   9.00000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   9.50000000E-01   3.00000000E-01   0.00000000E+00
     0.00000   1.00000000E+00   3.00000000E-01   0.00000000E+00
     2.77778   0.00000000E+00   1.55539899E+38   7.62704899E+00
     2.77778   5.00000000E-02   2.96579085E+43   7.62704899E+01
     2.77778   1.00000000E-01   1.24431911E+38   7.62704899E+00
     2.77778   1.50000000E-01   2.96582196E+43   7.62704899E+01
     2.77778   2.00000000E-01   9.33235641E+37   7.62704899E+00
     2.77778   2.50000000E-01   2.96585307E+43   7.62704899E+01
     2.77778   3.00000000E-01   6.22148583E+37   7.62704899E+00
     2.77778   3.50000000E-01   2.96588418E+43   7.62704899E+01
     2.77778   4.00000000E-01   3.11057935E+37   7.62704899E+00
     2.77778   4.50000000E-01   2.96591529E+43   7.62704899E+01
     2.77778   5.00000000E-01  -3.63017818E+33   7.62704899E+00
     2.77778   5.50000000E-01   2.96594640E+43   7.62704899E+01
     2.77778   6.00000000E-01  -3.11134128E+37   7.62704899E+00
     2.77778   6.50000000E-01   2.96597751E+43   7.62704899E+01
     2.77778   7.00000000E-01  -6.22235544E+37   7.62704899E+00
     2.77778   7.50000000E-01   2.96600862E+43   7.62704899E+01
     2.77778   8.00000000E-01  -9.33340550E+37   7.62704899E+00
     2.77778   8.50000000E-01   2.96603973E+43   7.62704899E+01
     2.77778   9.00000000E-01  -1.24444914E+38   7.62704899E+00
     2.77778   9.50000000E-01   2.96607084E+43   7.62704899E+01
     2.77778   1.00000000E+00  -1.55556133E+38   7.62704899E+00
