State         Time     Position         ω_e        velocity            Φ_2          Peclet          flux_e          flux_0          flux_+          flux_-             i_2
  CDR        hours           um            -            cm/s            Φ_2               -       mol/cm2/s       mol/cm2/s       mol/cm2/s       mol/cm2/s         A/cm2/s
  D        0.00000      0.00000      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.02500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.07500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.12500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.17500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.22500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.27500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.32500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.37500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.42500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
  D        0.00000      0.47500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-07     1.10000E-07     3.30000E-07    -7.70000E-07     1.06134E-01
