State         Time     Position         ω_e        velocity          Peclet          flux_e          flux_0
  CDR        hours           um            -            cm/s               -       mol/cm2/s       mol/cm2/s
  D        0.00000      0.00000      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.02500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.07500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.12500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.17500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.22500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.27500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.32500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.37500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.42500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.47500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.52500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.57500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.62500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.67500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.72500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.77500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.82500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.87500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.92500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      0.97500      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00000      1.00000      0.40000     0.00000E+00     0.00000E+00     3.42022E-12     1.14007E-12
  D        0.00028      0.00000      0.40000     1.35409E-10     0.00000E+00     8.92260E-11     2.59417E-11
  D        0.00028      0.02500      0.40000     1.35409E-10     0.00000E+00     5.75964E-11     4.17564E-11
  D        0.00028      0.07500      0.40000     1.35409E-10     0.00000E+00     5.75838E-11     4.17627E-11
