State         Time     Position         ω_e        velocity            Φ_2          Peclet          flux_e          flux_0
  CDR        hours           um            -            cm/s            Φ_2               -       mol/cm2/s       mol/cm2/s
  D        0.00000      0.00000      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.02500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.07500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.12500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.17500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.22500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.27500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.32500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.37500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.42500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.47500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.52500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.57500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.62500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.67500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.72500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.77500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.82500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.87500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.92500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      0.97500      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00000      1.00000      0.40000     0.00000E+00     0.00000E+00     0.00000E+00     3.30000E-08     1.10000E-08
  D        0.00028      0.00000      0.40165     1.09781E-07     0.00000E+00     0.00000E+00     1.43050E-07     1.08655E-08
  D        0.00028      0.02500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70265E-08     4.39867E-08
  D        0.00028      0.07500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.12500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.17500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.22500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.27500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.32500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.37500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.42500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.47500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.52500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.57500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.62500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.67500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.72500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.77500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.82500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.87500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00028      0.92500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70263E-08     4.39868E-08
  D        0.00028      0.97500      0.40000    -8.65860E-07     0.00000E+00     0.00000E+00    -4.42515E-07    -1.84172E-07
  D        0.00028      1.00000      0.40323    -8.65860E-07    -4.70986E-01     0.00000E+00    -4.45311E-07    -1.82774E-07
  D        0.00056      0.00000      0.40165     1.09781E-07     0.00000E+00     0.00000E+00     1.42869E-07     1.09563E-08
  D        0.00056      0.02500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70530E-08     4.39734E-08
  D        0.00056      0.07500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.12500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.17500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.22500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.27500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.32500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.37500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.42500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
  D        0.00056      0.47500      0.40000     1.10000E-07     0.00000E+00     0.00000E+00     7.70000E-08     4.40000E-08
