State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00000      0.00000    1.00000E-003    0.00000E+000
  D        0.00000      0.02500    1.00000E-003    0.00000E+000
  D        0.00000      0.07500    1.00000E-003    0.00000E+000
  D        0.00000      0.12500    1.00000E-003    0.00000E+000
  D        0.00000      0.17500    1.00000E-003    0.00000E+000
  D        0.00000      0.22500    1.00000E-003    0.00000E+000
  D        0.00000      0.27500    1.00000E-003    0.00000E+000
  D        0.00000      0.32500    1.00000E-003    0.00000E+000
  D        0.00000      0.37500    1.00000E-003    0.00000E+000
  D        0.00000      0.42500    1.00000E-003    0.00000E+000
  D        0.00000      0.47500    1.00000E-003    0.00000E+000
  D        0.00000      0.52500    1.00000E-003    0.00000E+000
  D        0.00000      0.57500    1.00000E-003    0.00000E+000
  D        0.00000      0.62500    1.00000E-003    0.00000E+000
  D        0.00000      0.67500    1.00000E-003    0.00000E+000
  D        0.00000      0.72500    1.00000E-003    0.00000E+000
  D        0.00000      0.77500    1.00000E-003    0.00000E+000
  D        0.00000      0.82500    1.00000E-003    0.00000E+000
  D        0.00000      0.87500    1.00000E-003    0.00000E+000
  D        0.00000      0.92500    1.00000E-003    0.00000E+000
  D        0.00000      0.97500    1.00000E-003    0.00000E+000
  D        0.00000      1.00000    1.00000E-003    0.00000E+000
  D        0.00028      0.00000    1.05628E-003    2.69084E-002
  D        0.00028      0.02500    1.00013E-003    2.54664E-002
  D        0.00028      0.07500    1.00000E-003    2.42003E-002
  D        0.00028      0.12500    1.00000E-003    2.29361E-002
  D        0.00028      0.17500    1.00000E-003    2.16718E-002
  D        0.00028      0.22500    1.00000E-003    2.04076E-002
  D        0.00028      0.27500    1.00000E-003    1.91433E-002
  D        0.00028      0.32500    1.00000E-003    1.78791E-002
  D        0.00028      0.37500    1.00000E-003    1.66148E-002
  D        0.00028      0.42500    1.00000E-003    1.53506E-002
  D        0.00028      0.47500    1.00000E-003    1.40863E-002
  D        0.00028      0.52500    1.00000E-003    1.28221E-002
  D        0.00028      0.57500    1.00000E-003    1.15578E-002
  D        0.00028      0.62500    1.00000E-003    1.02936E-002
  D        0.00028      0.67500    1.00000E-003    9.02930E-003
  D        0.00028      0.72500    1.00000E-003    7.76505E-003
  D        0.00028      0.77500    1.00000E-003    6.50080E-003
  D        0.00028      0.82500    1.00000E-003    5.23655E-003
  D        0.00028      0.87500    1.00000E-003    3.97230E-003
  D        0.00028      0.92500    1.00000E-003    2.70805E-003
  D        0.00028      0.97500    9.99871E-004    1.44193E-003
  D        0.00028      1.00000    9.43717E-004    0.00000E+000
  D        0.00056      0.00000    1.05922E-003    2.68993E-002
  D        0.00056      0.02500    1.00026E-003    2.54699E-002
  D        0.00056      0.07500    1.00000E-003    2.42022E-002
  D        0.00056      0.12500    1.00000E-003    2.29380E-002
  D        0.00056      0.17500    1.00000E-003    2.16737E-002
  D        0.00056      0.22500    1.00000E-003    2.04095E-002
  D        0.00056      0.27500    1.00000E-003    1.91452E-002
  D        0.00056      0.32500    1.00000E-003    1.78810E-002
  D        0.00056      0.37500    1.00000E-003    1.66167E-002
  D        0.00056      0.42500    1.00000E-003    1.53525E-002
  D        0.00056      0.47500    1.00000E-003    1.40882E-002
  D        0.00056      0.52500    1.00000E-003    1.28240E-002
  D        0.00056      0.57500    1.00000E-003    1.15597E-002
  D        0.00056      0.62500    1.00000E-003    1.02955E-002
  D        0.00056      0.67500    1.00000E-003    9.03123E-003
  D        0.00056      0.72500    1.00000E-003    7.76698E-003
  D        0.00056      0.77500    1.00000E-003    6.50273E-003
  D        0.00056      0.82500    1.00000E-003    5.23848E-003
  D        0.00056      0.87500    1.00000E-003    3.97423E-003
  D        0.00056      0.92500    1.00000E-003    2.70997E-003
  D        0.00056      0.97500    9.99741E-004    1.44200E-003
  D        0.00056      1.00000    9.43600E-004    0.00000E+000
  D        0.00083      0.00000    1.05936E-003    2.69030E-002
  D        0.00083      0.02500    1.00039E-003    2.54735E-002
  D        0.00083      0.07500    1.00000E-003    2.42041E-002
  D        0.00083      0.12500    1.00000E-003    2.29399E-002
  D        0.00083      0.17500    1.00000E-003    2.16756E-002
  D        0.00083      0.22500    1.00000E-003    2.04114E-002
  D        0.00083      0.27500    1.00000E-003    1.91471E-002
  D        0.00083      0.32500    1.00000E-003    1.78829E-002
  D        0.00083      0.37500    1.00000E-003    1.66186E-002
  D        0.00083      0.42500    1.00000E-003    1.53544E-002
  D        0.00083      0.47500    1.00000E-003    1.40901E-002
  D        0.00083      0.52500    1.00000E-003    1.28259E-002
  D        0.00083      0.57500    1.00000E-003    1.15616E-002
  D        0.00083      0.62500    1.00000E-003    1.02974E-002
  D        0.00083      0.67500    1.00000E-003    9.03313E-003
  D        0.00083      0.72500    1.00000E-003    7.76887E-003
  D        0.00083      0.77500    1.00000E-003    6.50462E-003
  D        0.00083      0.82500    1.00000E-003    5.24037E-003
  D        0.00083      0.87500    1.00000E-003    3.97612E-003
  D        0.00083      0.92500    9.99999E-004    2.71186E-003
  D        0.00083      0.97500    9.99612E-004    1.44203E-003
  D        0.00083      1.00000    9.43477E-004    0.00000E+000
  D        0.00111      0.00000    1.05949E-003    2.69066E-002
  D        0.00111      0.02500    1.00052E-003    2.54771E-002
  D        0.00111      0.07500    1.00000E-003    2.42060E-002
  D        0.00111      0.12500    1.00000E-003    2.29418E-002
  D        0.00111      0.17500    1.00000E-003    2.16775E-002
  D        0.00111      0.22500    1.00000E-003    2.04133E-002
  D        0.00111      0.27500    1.00000E-003    1.91490E-002
  D        0.00111      0.32500    1.00000E-003    1.78848E-002
  D        0.00111      0.37500    1.00000E-003    1.66205E-002
  D        0.00111      0.42500    1.00000E-003    1.53563E-002
  D        0.00111      0.47500    1.00000E-003    1.40920E-002
  D        0.00111      0.52500    1.00000E-003    1.28278E-002
  D        0.00111      0.57500    1.00000E-003    1.15635E-002
  D        0.00111      0.62500    1.00000E-003    1.02993E-002
  D        0.00111      0.67500    1.00000E-003    9.03502E-003
  D        0.00111      0.72500    1.00000E-003    7.77077E-003
  D        0.00111      0.77500    1.00000E-003    6.50652E-003
  D        0.00111      0.82500    1.00000E-003    5.24226E-003
  D        0.00111      0.87500    1.00000E-003    3.97801E-003
  D        0.00111      0.92500    9.99999E-004    2.71374E-003
  D        0.00111      0.97500    9.99484E-004    1.44206E-003
  D        0.00111      1.00000    9.43354E-004    0.00000E+000
  D        0.00139      0.00000    1.05963E-003    2.69101E-002
  D        0.00139      0.02500    1.00065E-003    2.54807E-002
  D        0.00139      0.07500    1.00000E-003    2.42079E-002
  D        0.00139      0.12500    1.00000E-003    2.29437E-002
  D        0.00139      0.17500    1.00000E-003    2.16794E-002
  D        0.00139      0.22500    1.00000E-003    2.04152E-002
  D        0.00139      0.27500    1.00000E-003    1.91509E-002
  D        0.00139      0.32500    1.00000E-003    1.78867E-002
  D        0.00139      0.37500    1.00000E-003    1.66224E-002
  D        0.00139      0.42500    1.00000E-003    1.53582E-002
  D        0.00139      0.47500    1.00000E-003    1.40939E-002
  D        0.00139      0.52500    1.00000E-003    1.28297E-002
  D        0.00139      0.57500    1.00000E-003    1.15654E-002
  D        0.00139      0.62500    1.00000E-003    1.03012E-002
  D        0.00139      0.67500    1.00000E-003    9.03691E-003
  D        0.00139      0.72500    1.00000E-003    7.77266E-003
  D        0.00139      0.77500    1.00000E-003    6.50840E-003
  D        0.00139      0.82500    1.00000E-003    5.24415E-003
  D        0.00139      0.87500    1.00000E-003    3.97990E-003
  D        0.00139      0.92500    9.99998E-004    2.71562E-003
  D        0.00139      0.97500    9.99355E-004    1.44209E-003
