State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00000      0.00000    1.00000E-003    0.00000E+000
  D        0.00000      0.02500    1.00000E-003    0.00000E+000
  D        0.00000      0.07500    1.00000E-003    0.00000E+000
  D        0.00000      0.12500    1.00000E-003    0.00000E+000
  D        0.00000      0.17500    1.00000E-003    0.00000E+000
  D        0.00000      0.22500    1.00000E-003    0.00000E+000
  D        0.00000      0.27500    1.00000E-003    0.00000E+000
  D        0.00000      0.32500    1.00000E-003    0.00000E+000
  D        0.00000      0.37500    1.00000E-003    0.00000E+000
  D        0.00000      0.42500    1.00000E-003    0.00000E+000
  D        0.00000      0.47500    1.00000E-003    0.00000E+000
  D        0.00000      0.52500    1.00000E-003    0.00000E+000
  D        0.00000      0.57500    1.00000E-003    0.00000E+000
  D        0.00000      0.62500    1.00000E-003    0.00000E+000
  D        0.00000      0.67500    1.00000E-003    0.00000E+000
  D        0.00000      0.72500    1.00000E-003    0.00000E+000
  D        0.00000      0.77500    1.00000E-003    0.00000E+000
  D        0.00000      0.82500    1.00000E-003    0.00000E+000
  D        0.00000      0.87500    1.00000E-003    0.00000E+000
  D        0.00000      0.92500    1.00000E-003    0.00000E+000
  D        0.00000      0.97500    1.00000E-003    0.00000E+000
  D        0.00000      1.00000    1.00000E-003    0.00000E+000
  D        0.00028      0.00000    1.02162E-003    3.05807E-002
  D        0.00028      0.02500    1.00005E-003    3.00267E-002
  D        0.00028      0.07500    1.00000E-003    2.84760E-002
  D        0.00028      0.12500    1.00000E-003    2.69247E-002
  D        0.00028      0.17500    1.00000E-003    2.53735E-002
  D        0.00028      0.22500    1.00000E-003    2.38222E-002
  D        0.00028      0.27500    1.00000E-003    2.22710E-002
  D        0.00028      0.32500    1.00000E-003    2.07197E-002
  D        0.00028      0.37500    1.00000E-003    1.91685E-002
  D        0.00028      0.42500    1.00000E-003    1.76172E-002
  D        0.00028      0.47500    1.00000E-003    1.60660E-002
  D        0.00028      0.52500    1.00000E-003    1.45147E-002
  D        0.00028      0.57500    1.00000E-003    1.29635E-002
  D        0.00028      0.62500    1.00000E-003    1.14122E-002
  D        0.00028      0.67500    1.00000E-003    9.86100E-003
  D        0.00028      0.72500    1.00000E-003    8.30975E-003
  D        0.00028      0.77500    1.00000E-003    6.75850E-003
  D        0.00028      0.82500    1.00000E-003    5.20725E-003
  D        0.00028      0.87500    1.00000E-003    3.65600E-003
  D        0.00028      0.92500    1.00000E-003    2.10476E-003
  D        0.00028      0.97500    9.99950E-004    5.54017E-004
  D        0.00028      1.00000    9.78375E-004    0.00000E+000
  D        0.00056      0.00000    1.02197E-003    3.05753E-002
  D        0.00056      0.02500    1.00010E-003    3.00257E-002
  D        0.00056      0.07500    1.00000E-003    2.84755E-002
  D        0.00056      0.12500    1.00000E-003    2.69242E-002
  D        0.00056      0.17500    1.00000E-003    2.53730E-002
  D        0.00056      0.22500    1.00000E-003    2.38217E-002
  D        0.00056      0.27500    1.00000E-003    2.22705E-002
  D        0.00056      0.32500    1.00000E-003    2.07192E-002
  D        0.00056      0.37500    1.00000E-003    1.91680E-002
  D        0.00056      0.42500    1.00000E-003    1.76167E-002
  D        0.00056      0.47500    1.00000E-003    1.60655E-002
  D        0.00056      0.52500    1.00000E-003    1.45143E-002
  D        0.00056      0.57500    1.00000E-003    1.29630E-002
  D        0.00056      0.62500    1.00000E-003    1.14118E-002
  D        0.00056      0.67500    1.00000E-003    9.86051E-003
  D        0.00056      0.72500    1.00000E-003    8.30926E-003
  D        0.00056      0.77500    1.00000E-003    6.75801E-003
  D        0.00056      0.82500    1.00000E-003    5.20676E-003
  D        0.00056      0.87500    1.00000E-003    3.65551E-003
  D        0.00056      0.92500    1.00000E-003    2.10427E-003
  D        0.00056      0.97500    9.99901E-004    5.54038E-004
  D        0.00056      1.00000    9.78327E-004    0.00000E+000
  D        0.00083      0.00000    1.02202E-003    3.05742E-002
  D        0.00083      0.02500    1.00015E-003    3.00246E-002
  D        0.00083      0.07500    1.00000E-003    2.84750E-002
  D        0.00083      0.12500    1.00000E-003    2.69237E-002
  D        0.00083      0.17500    1.00000E-003    2.53725E-002
  D        0.00083      0.22500    1.00000E-003    2.38212E-002
  D        0.00083      0.27500    1.00000E-003    2.22700E-002
  D        0.00083      0.32500    1.00000E-003    2.07187E-002
  D        0.00083      0.37500    1.00000E-003    1.91675E-002
  D        0.00083      0.42500    1.00000E-003    1.76163E-002
  D        0.00083      0.47500    1.00000E-003    1.60650E-002
  D        0.00083      0.52500    1.00000E-003    1.45138E-002
  D        0.00083      0.57500    1.00000E-003    1.29625E-002
  D        0.00083      0.62500    1.00000E-003    1.14113E-002
  D        0.00083      0.67500    1.00000E-003    9.86001E-003
  D        0.00083      0.72500    1.00000E-003    8.30876E-003
  D        0.00083      0.77500    1.00000E-003    6.75751E-003
  D        0.00083      0.82500    1.00000E-003    5.20626E-003
  D        0.00083      0.87500    1.00000E-003    3.65502E-003
  D        0.00083      0.92500    1.00000E-003    2.10377E-003
  D        0.00083      0.97500    9.99851E-004    5.54048E-004
  D        0.00083      1.00000    9.78278E-004    0.00000E+000
  D        0.00111      0.00000    1.02207E-003    3.05732E-002
  D        0.00111      0.02500    1.00020E-003    3.00236E-002
  D        0.00111      0.07500    1.00000E-003    2.84745E-002
  D        0.00111      0.12500    1.00000E-003    2.69232E-002
  D        0.00111      0.17500    1.00000E-003    2.53720E-002
  D        0.00111      0.22500    1.00000E-003    2.38207E-002
  D        0.00111      0.27500    1.00000E-003    2.22695E-002
  D        0.00111      0.32500    1.00000E-003    2.07182E-002
  D        0.00111      0.37500    1.00000E-003    1.91670E-002
  D        0.00111      0.42500    1.00000E-003    1.76158E-002
  D        0.00111      0.47500    1.00000E-003    1.60645E-002
  D        0.00111      0.52500    1.00000E-003    1.45133E-002
  D        0.00111      0.57500    1.00000E-003    1.29620E-002
  D        0.00111      0.62500    1.00000E-003    1.14108E-002
  D        0.00111      0.67500    1.00000E-003    9.85951E-003
  D        0.00111      0.72500    1.00000E-003    8.30826E-003
  D        0.00111      0.77500    1.00000E-003    6.75701E-003
  D        0.00111      0.82500    1.00000E-003    5.20577E-003
  D        0.00111      0.87500    1.00000E-003    3.65452E-003
  D        0.00111      0.92500    9.99999E-004    2.10328E-003
  D        0.00111      0.97500    9.99802E-004    5.54059E-004
  D        0.00111      1.00000    9.78229E-004    0.00000E+000
  D        0.00139      0.00000    1.02212E-003    3.05721E-002
  D        0.00139      0.02500    1.00025E-003    3.00226E-002
  D        0.00139      0.07500    1.00000E-003    2.84740E-002
  D        0.00139      0.12500    1.00000E-003    2.69227E-002
  D        0.00139      0.17500    1.00000E-003    2.53715E-002
  D        0.00139      0.22500    1.00000E-003    2.38202E-002
  D        0.00139      0.27500    1.00000E-003    2.22690E-002
  D        0.00139      0.32500    1.00000E-003    2.07178E-002
  D        0.00139      0.37500    1.00000E-003    1.91665E-002
  D        0.00139      0.42500    1.00000E-003    1.76153E-002
  D        0.00139      0.47500    1.00000E-003    1.60640E-002
  D        0.00139      0.52500    1.00000E-003    1.45128E-002
  D        0.00139      0.57500    1.00000E-003    1.29615E-002
  D        0.00139      0.62500    1.00000E-003    1.14103E-002
  D        0.00139      0.67500    1.00000E-003    9.85901E-003
  D        0.00139      0.72500    1.00000E-003    8.30777E-003
  D        0.00139      0.77500    1.00000E-003    6.75652E-003
  D        0.00139      0.82500    1.00000E-003    5.20527E-003
  D        0.00139      0.87500    1.00000E-003    3.65402E-003
  D        0.00139      0.92500    9.99999E-004    2.10278E-003
  D        0.00139      0.97500    9.99752E-004    5.54069E-004
