State         Time     Position         c_LiPF6            Φ_2
  CDR        hours           um          mol/mL               V
  D        0.00000      0.00000    1.00000E-003    0.00000E+000
  D        0.00000      0.02500    1.00000E-003    0.00000E+000
  D        0.00000      0.07500    1.00000E-003    0.00000E+000
  D        0.00000      0.12500    1.00000E-003    0.00000E+000
  D        0.00000      0.17500    1.00000E-003    0.00000E+000
  D        0.00000      0.22500    1.00000E-003    0.00000E+000
  D        0.00000      0.27500    1.00000E-003    0.00000E+000
  D        0.00000      0.32500    1.00000E-003    0.00000E+000
  D        0.00000      0.37500    1.00000E-003    0.00000E+000
  D        0.00000      0.42500    1.00000E-003    0.00000E+000
  D        0.00000      0.47500    1.00000E-003    0.00000E+000
  D        0.00000      0.52500    1.00000E-003    0.00000E+000
  D        0.00000      0.57500    1.00000E-003    0.00000E+000
  D        0.00000      0.62500    1.00000E-003    0.00000E+000
  D        0.00000      0.67500    1.00000E-003    0.00000E+000
  D        0.00000      0.72500    1.00000E-003    0.00000E+000
  D        0.00000      0.77500    1.00000E-003    0.00000E+000
  D        0.00000      0.82500    1.00000E-003    0.00000E+000
  D        0.00000      0.87500    1.00000E-003    0.00000E+000
  D        0.00000      0.92500    1.00000E-003    0.00000E+000
  D        0.00000      0.97500    1.00000E-003    0.00000E+000
  D        0.00000      1.00000    1.00000E-003    0.00000E+000
  D        0.00028      0.00000    1.05046E-003    3.20615E-002
  D        0.00028      0.02500    1.00012E-003    3.07688E-002
  D        0.00028      0.07500    1.00000E-003    2.92164E-002
  D        0.00028      0.12500    1.00000E-003    2.76651E-002
  D        0.00028      0.17500    1.00000E-003    2.61139E-002
  D        0.00028      0.22500    1.00000E-003    2.45626E-002
  D        0.00028      0.27500    1.00000E-003    2.30114E-002
  D        0.00028      0.32500    1.00000E-003    2.14601E-002
  D        0.00028      0.37500    1.00000E-003    1.99089E-002
  D        0.00028      0.42500    1.00000E-003    1.83576E-002
  D        0.00028      0.47500    1.00000E-003    1.68064E-002
  D        0.00028      0.52500    1.00000E-003    1.52551E-002
  D        0.00028      0.57500    1.00000E-003    1.37039E-002
  D        0.00028      0.62500    1.00000E-003    1.21526E-002
  D        0.00028      0.67500    1.00000E-003    1.06014E-002
  D        0.00028      0.72500    1.00000E-003    9.05014E-003
  D        0.00028      0.77500    1.00000E-003    7.49889E-003
  D        0.00028      0.82500    1.00000E-003    5.94764E-003
  D        0.00028      0.87500    1.00000E-003    4.39639E-003
  D        0.00028      0.92500    1.00000E-003    2.84514E-003
  D        0.00028      0.97500    9.99884E-004    1.29271E-003
  D        0.00028      1.00000    9.49542E-004    0.00000E+000
  D        0.00056      0.00000    1.05224E-003    3.20404E-002
  D        0.00056      0.02500    1.00023E-003    3.07712E-002
  D        0.00056      0.07500    1.00000E-003    2.92177E-002
  D        0.00056      0.12500    1.00000E-003    2.76664E-002
  D        0.00056      0.17500    1.00000E-003    2.61152E-002
  D        0.00056      0.22500    1.00000E-003    2.45639E-002
  D        0.00056      0.27500    1.00000E-003    2.30127E-002
  D        0.00056      0.32500    1.00000E-003    2.14614E-002
  D        0.00056      0.37500    1.00000E-003    1.99102E-002
  D        0.00056      0.42500    1.00000E-003    1.83589E-002
  D        0.00056      0.47500    1.00000E-003    1.68077E-002
  D        0.00056      0.52500    1.00000E-003    1.52564E-002
  D        0.00056      0.57500    1.00000E-003    1.37052E-002
  D        0.00056      0.62500    1.00000E-003    1.21539E-002
  D        0.00056      0.67500    1.00000E-003    1.06027E-002
  D        0.00056      0.72500    1.00000E-003    9.05144E-003
  D        0.00056      0.77500    1.00000E-003    7.50019E-003
  D        0.00056      0.82500    1.00000E-003    5.94895E-003
  D        0.00056      0.87500    1.00000E-003    4.39770E-003
  D        0.00056      0.92500    1.00000E-003    2.84644E-003
  D        0.00056      0.97500    9.99768E-004    1.29282E-003
  D        0.00056      1.00000    9.49433E-004    0.00000E+000
  D        0.00083      0.00000    1.05236E-003    3.20427E-002
  D        0.00083      0.02500    1.00035E-003    3.07735E-002
  D        0.00083      0.07500    1.00000E-003    2.92189E-002
  D        0.00083      0.12500    1.00000E-003    2.76677E-002
  D        0.00083      0.17500    1.00000E-003    2.61164E-002
  D        0.00083      0.22500    1.00000E-003    2.45652E-002
  D        0.00083      0.27500    1.00000E-003    2.30139E-002
  D        0.00083      0.32500    1.00000E-003    2.14627E-002
  D        0.00083      0.37500    1.00000E-003    1.99114E-002
  D        0.00083      0.42500    1.00000E-003    1.83602E-002
  D        0.00083      0.47500    1.00000E-003    1.68089E-002
  D        0.00083      0.52500    1.00000E-003    1.52577E-002
  D        0.00083      0.57500    1.00000E-003    1.37064E-002
  D        0.00083      0.62500    1.00000E-003    1.21552E-002
  D        0.00083      0.67500    1.00000E-003    1.06039E-002
  D        0.00083      0.72500    1.00000E-003    9.05269E-003
  D        0.00083      0.77500    1.00000E-003    7.50144E-003
  D        0.00083      0.82500    1.00000E-003    5.95019E-003
  D        0.00083      0.87500    1.00000E-003    4.39894E-003
  D        0.00083      0.92500    9.99999E-004    2.84769E-003
  D        0.00083      0.97500    9.99653E-004    1.29288E-003
  D        0.00083      1.00000    9.49321E-004    0.00000E+000
  D        0.00111      0.00000    1.05248E-003    3.20450E-002
  D        0.00111      0.02500    1.00046E-003    3.07759E-002
  D        0.00111      0.07500    1.00000E-003    2.92202E-002
  D        0.00111      0.12500    1.00000E-003    2.76689E-002
  D        0.00111      0.17500    1.00000E-003    2.61177E-002
  D        0.00111      0.22500    1.00000E-003    2.45664E-002
  D        0.00111      0.27500    1.00000E-003    2.30152E-002
  D        0.00111      0.32500    1.00000E-003    2.14639E-002
  D        0.00111      0.37500    1.00000E-003    1.99127E-002
  D        0.00111      0.42500    1.00000E-003    1.83614E-002
  D        0.00111      0.47500    1.00000E-003    1.68102E-002
  D        0.00111      0.52500    1.00000E-003    1.52589E-002
  D        0.00111      0.57500    1.00000E-003    1.37077E-002
  D        0.00111      0.62500    1.00000E-003    1.21564E-002
  D        0.00111      0.67500    1.00000E-003    1.06052E-002
  D        0.00111      0.72500    1.00000E-003    9.05393E-003
  D        0.00111      0.77500    1.00000E-003    7.50268E-003
  D        0.00111      0.82500    1.00000E-003    5.95143E-003
  D        0.00111      0.87500    1.00000E-003    4.40019E-003
  D        0.00111      0.92500    9.99999E-004    2.84892E-003
  D        0.00111      0.97500    9.99537E-004    1.29293E-003
  D        0.00111      1.00000    9.49209E-004    0.00000E+000
  D        0.00139      0.00000    1.05260E-003    3.20474E-002
  D        0.00139      0.02500    1.00058E-003    3.07782E-002
  D        0.00139      0.07500    1.00000E-003    2.92214E-002
  D        0.00139      0.12500    1.00000E-003    2.76702E-002
  D        0.00139      0.17500    1.00000E-003    2.61189E-002
  D        0.00139      0.22500    1.00000E-003    2.45677E-002
  D        0.00139      0.27500    1.00000E-003    2.30164E-002
  D        0.00139      0.32500    1.00000E-003    2.14652E-002
  D        0.00139      0.37500    1.00000E-003    1.99139E-002
  D        0.00139      0.42500    1.00000E-003    1.83627E-002
  D        0.00139      0.47500    1.00000E-003    1.68114E-002
  D        0.00139      0.52500    1.00000E-003    1.52602E-002
  D        0.00139      0.57500    1.00000E-003    1.37089E-002
  D        0.00139      0.62500    1.00000E-003    1.21577E-002
  D        0.00139      0.67500    1.00000E-003    1.06064E-002
  D        0.00139      0.72500    1.00000E-003    9.05517E-003
  D        0.00139      0.77500    1.00000E-003    7.50392E-003
  D        0.00139      0.82500    1.00000E-003    5.95268E-003
  D        0.00139      0.87500    1.00000E-003    4.40143E-003
  D        0.00139      0.92500    9.99998E-004    2.85016E-003
  D        0.00139      0.97500    9.99422E-004    1.29299E-003
