State         Time     Position         c_LiPF6        velocity         Density        ω_LiPF6
  CDR        hours           um          mol/mL            cm/s            g/mL               -
  D        0.00000      0.00000     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.02500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.07500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.12500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.17500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.22500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.27500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.32500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.37500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.42500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.47500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.52500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.57500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.62500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.67500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.72500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.77500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.82500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.87500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.92500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      0.97500     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00000      1.00000     1.00000E-03     0.00000E+00     1.47395E+00     1.03060E-01
  D        0.00028      0.00000     1.05459E-03     7.21419E-07     1.47893E+00     1.08320E-01
  D        0.00028      0.02500     1.00013E-03     3.07819E-07     1.47396E+00     1.03073E-01
  D        0.00028      0.07500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.12500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.17500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.22500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.27500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.32500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.37500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.42500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.47500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.52500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.57500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.62500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.67500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.72500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.77500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.82500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.87500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.92500     1.00000E-03     3.07819E-07     1.47395E+00     1.03060E-01
  D        0.00028      0.97500     9.99866E-04     7.21419E-07     1.47394E+00     1.03047E-01
  D        0.00028      1.00000     9.45408E-04     7.21419E-07     1.46897E+00     9.77638E-02
  D        0.00056      0.00000     1.05633E-03     7.18913E-07     1.47909E+00     1.08487E-01
  D        0.00056      0.02500     1.00027E-03     3.08325E-07     1.47397E+00     1.03086E-01
  D        0.00056      0.07500     1.00000E-03     3.07313E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.12500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.17500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.22500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.27500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.32500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.37500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.42500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.47500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.52500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.57500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.62500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.67500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.72500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.77500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.82500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.87500     1.00000E-03     3.07313E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.92500     1.00000E-03     3.08326E-07     1.47395E+00     1.03060E-01
  D        0.00056      0.97500     9.99733E-04     7.21431E-07     1.47393E+00     1.03034E-01
  D        0.00056      1.00000     9.45282E-04     7.23861E-07     1.46896E+00     9.77515E-02
  D        0.00083      0.00000     1.05647E-03     7.18907E-07     1.47910E+00     1.08501E-01
  D        0.00083      0.02500     1.00040E-03     3.08830E-07     1.47399E+00     1.03099E-01
  D        0.00083      0.07500     1.00000E-03     3.07315E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.12500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.17500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.22500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.27500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.32500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.37500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.42500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.47500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.52500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.57500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.62500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.67500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.72500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.77500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.82500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.87500     1.00000E-03     3.07315E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.92500     9.99999E-04     3.08831E-07     1.47395E+00     1.03060E-01
  D        0.00083      0.97500     9.99599E-04     7.21437E-07     1.47391E+00     1.03021E-01
  D        0.00083      1.00000     9.45152E-04     7.23867E-07     1.46895E+00     9.77389E-02
  D        0.00111      0.00000     1.05661E-03     7.18901E-07     1.47911E+00     1.08514E-01
  D        0.00111      0.02500     1.00053E-03     3.09334E-07     1.47400E+00     1.03111E-01
  D        0.00111      0.07500     1.00000E-03     3.07318E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.12500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.17500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.22500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.27500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.32500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.37500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.42500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.47500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.52500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.57500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.62500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.67500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.72500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.77500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.82500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.87500     1.00000E-03     3.07318E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.92500     9.99998E-04     3.09335E-07     1.47395E+00     1.03060E-01
  D        0.00111      0.97500     9.99466E-04     7.21442E-07     1.47390E+00     1.03008E-01
  D        0.00111      1.00000     9.45023E-04     7.23873E-07     1.46894E+00     9.77263E-02
  D        0.00139      0.00000     1.05675E-03     7.18895E-07     1.47913E+00     1.08527E-01
  D        0.00139      0.02500     1.00067E-03     3.09836E-07     1.47401E+00     1.03124E-01
  D        0.00139      0.07500     1.00000E-03     3.07321E-07     1.47395E+00     1.03060E-01
  D        0.00139      0.12500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00139      0.17500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00139      0.22500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00139      0.27500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00139      0.32500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
  D        0.00139      0.37500     1.00000E-03     3.07312E-07     1.47395E+00     1.03060E-01
