State         Time     Position         c_LiPF6        velocity            Φ_2         Density        ω_LiPF6
  CDR        hours           um          mol/mL            cm/s               V            g/mL               -
  D        0.00000      0.00000    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.02500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.07500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.12500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.17500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.22500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.27500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.32500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.37500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.42500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.47500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.52500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.57500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.62500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.67500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.72500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.77500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.82500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.87500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.92500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      0.97500    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00000      1.00000    2.50000E-003    0.00000E+000    0.00000E+000    1.61075E+000    2.35767E-001
  D        0.00028      0.00000    2.51724E-003    1.33985E-008    7.16517E-002    1.61232E+000    2.37162E-001
  D        0.00028      0.02500    2.50008E-003   -2.19450E-007    7.12165E-002    1.61076E+000    2.35774E-001
  D        0.00028      0.07500    2.50000E-003   -2.20007E-007    6.74972E-002    1.61075E+000    2.35768E-001
  D        0.00028      0.12500    2.50000E-003   -2.20009E-007    6.37712E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.17500    2.50000E-003   -2.20009E-007    6.00452E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.22500    2.50000E-003   -2.20009E-007    5.63191E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.27500    2.50000E-003   -2.20009E-007    5.25931E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.32500    2.50000E-003   -2.20009E-007    4.88670E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.37500    2.50000E-003   -2.20009E-007    4.51410E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.42500    2.50000E-003   -2.20009E-007    4.14149E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.47500    2.50000E-003   -2.20009E-007    3.76889E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.52500    2.50000E-003   -2.20009E-007    3.39628E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.57500    2.50000E-003   -2.20009E-007    3.02368E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.62500    2.50000E-003   -2.20009E-007    2.65107E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.67500    2.50000E-003   -2.20009E-007    2.27847E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.72500    2.50000E-003   -2.20009E-007    1.90586E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.77500    2.50000E-003   -2.20009E-007    1.53326E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.82500    2.50000E-003   -2.20009E-007    1.16066E-002    1.61075E+000    2.35767E-001
  D        0.00028      0.87500    2.50000E-003   -2.20007E-007    7.88051E-003    1.61075E+000    2.35767E-001
  D        0.00028      0.92500    2.50000E-003   -2.19450E-007    4.15448E-003    1.61075E+000    2.35767E-001
  D        0.00028      0.97500    2.49992E-003    1.33985E-008    4.35258E-004    1.61074E+000    2.35761E-001
  D        0.00028      1.00000    2.48276E-003    1.33985E-008    0.00000E+000    1.60918E+000    2.34370E-001
  D        0.00056      0.00000    2.51728E-003    1.33854E-008    7.16633E-002    1.61233E+000    2.37165E-001
  D        0.00056      0.02500    2.50016E-003   -2.18897E-007    7.12031E-002    1.61076E+000    2.35781E-001
  D        0.00056      0.07500    2.50000E-003   -2.20005E-007    6.74902E-002    1.61075E+000    2.35768E-001
  D        0.00056      0.12500    2.50000E-003   -2.20009E-007    6.37642E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.17500    2.50000E-003   -2.20009E-007    6.00381E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.22500    2.50000E-003   -2.20009E-007    5.63121E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.27500    2.50000E-003   -2.20009E-007    5.25860E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.32500    2.50000E-003   -2.20009E-007    4.88600E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.37500    2.50000E-003   -2.20009E-007    4.51339E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.42500    2.50000E-003   -2.20009E-007    4.14079E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.47500    2.50000E-003   -2.20009E-007    3.76818E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.52500    2.50000E-003   -2.20009E-007    3.39558E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.57500    2.50000E-003   -2.20009E-007    3.02298E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.62500    2.50000E-003   -2.20009E-007    2.65037E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.67500    2.50000E-003   -2.20009E-007    2.27777E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.72500    2.50000E-003   -2.20009E-007    1.90516E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.77500    2.50000E-003   -2.20009E-007    1.53256E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.82500    2.50000E-003   -2.20009E-007    1.15995E-002    1.61075E+000    2.35767E-001
  D        0.00056      0.87500    2.50000E-003   -2.20005E-007    7.87347E-003    1.61075E+000    2.35767E-001
  D        0.00056      0.92500    2.50000E-003   -2.18895E-007    4.14748E-003    1.61075E+000    2.35767E-001
  D        0.00056      0.97500    2.49984E-003    1.33986E-008    4.35055E-004    1.61074E+000    2.35754E-001
  D        0.00056      1.00000    2.48268E-003    1.34116E-008    0.00000E+000    1.60917E+000    2.34364E-001
  D        0.00083      0.00000    2.51736E-003    1.33853E-008    7.16499E-002    1.61233E+000    2.37172E-001
  D        0.00083      0.02500    2.50025E-003   -2.18345E-007    7.11895E-002    1.61077E+000    2.35787E-001
  D        0.00083      0.07500    2.50000E-003   -2.20001E-007    6.74832E-002    1.61075E+000    2.35768E-001
  D        0.00083      0.12500    2.50000E-003   -2.20009E-007    6.37572E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.17500    2.50000E-003   -2.20009E-007    6.00312E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.22500    2.50000E-003   -2.20009E-007    5.63051E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.27500    2.50000E-003   -2.20009E-007    5.25791E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.32500    2.50000E-003   -2.20009E-007    4.88531E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.37500    2.50000E-003   -2.20009E-007    4.51270E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.42500    2.50000E-003   -2.20009E-007    4.14010E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.47500    2.50000E-003   -2.20009E-007    3.76749E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.52500    2.50000E-003   -2.20009E-007    3.39489E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.57500    2.50000E-003   -2.20009E-007    3.02228E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.62500    2.50000E-003   -2.20009E-007    2.64968E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.67500    2.50000E-003   -2.20009E-007    2.27707E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.72500    2.50000E-003   -2.20009E-007    1.90447E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.77500    2.50000E-003   -2.20009E-007    1.53186E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.82500    2.50000E-003   -2.20009E-007    1.15926E-002    1.61075E+000    2.35767E-001
  D        0.00083      0.87500    2.50000E-003   -2.20001E-007    7.86654E-003    1.61075E+000    2.35767E-001
  D        0.00083      0.92500    2.50000E-003   -2.18342E-007    4.14059E-003    1.61075E+000    2.35767E-001
  D        0.00083      0.97500    2.49975E-003    1.33987E-008    4.34936E-004    1.61073E+000    2.35748E-001
  D        0.00083      1.00000    2.48260E-003    1.34117E-008    0.00000E+000    1.60916E+000    2.34357E-001
  D        0.00111      0.00000    2.51745E-003    1.33853E-008    7.16365E-002    1.61234E+000    2.37178E-001
  D        0.00111      0.02500    2.50033E-003   -2.17796E-007    7.11761E-002    1.61078E+000    2.35794E-001
  D        0.00111      0.07500    2.50000E-003   -2.19995E-007    6.74762E-002    1.61075E+000    2.35768E-001
  D        0.00111      0.12500    2.50000E-003   -2.20009E-007    6.37503E-002    1.61075E+000    2.35768E-001
  D        0.00111      0.17500    2.50000E-003   -2.20009E-007    6.00243E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.22500    2.50000E-003   -2.20009E-007    5.62982E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.27500    2.50000E-003   -2.20009E-007    5.25722E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.32500    2.50000E-003   -2.20009E-007    4.88461E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.37500    2.50000E-003   -2.20009E-007    4.51201E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.42500    2.50000E-003   -2.20009E-007    4.13940E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.47500    2.50000E-003   -2.20009E-007    3.76680E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.52500    2.50000E-003   -2.20009E-007    3.39420E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.57500    2.50000E-003   -2.20009E-007    3.02159E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.62500    2.50000E-003   -2.20009E-007    2.64899E-002    1.61075E+000    2.35767E-001
  D        0.00111      0.67500    2.50000E-003   -2.20009E-007    2.27638E-002    1.61075E+000    2.35767E-001
