Iter    X1          X2          X3          X4          f(X)    
   1    5.000000    5.000000    5.000000    5.000000    3.202774
   2    7.500000    2.500000    7.500000    2.500000    3.511332
   3    2.500000    7.500000    2.500000    7.500000    9.744944
   4    3.750000    3.750000    6.250000    1.250000    3.373176
   5    8.750000    8.750000    1.250000    6.250000    372244023526366848.000000
   6    6.250000    1.250000    3.750000    3.750000    2.970359
   7    1.250000    6.250000    8.750000    8.750000    3.612639
   8    1.875000    3.125000    3.125000    6.875000    2.728498
   9    6.875000    8.125000    8.125000    1.875000    3.605211
  10    9.375000    0.625000    5.625000    9.375000    3.773701
  11    4.375000    5.625000    0.625000    4.375000    117670.898108
  12    3.125000    1.875000    9.375000    5.625000    16569617.823198
  13    8.125000    6.875000    4.375000    0.625000    3.095669
  14    5.625000    4.375000    1.875000    8.125000    1.700962
  15    0.625000    9.375000    6.875000    3.125000    3.479111
  16    0.937500    4.687500    8.437500    4.062500    4.357228
  17    5.937500    9.687500    3.437500    9.062500    2.271959
  18    8.437500    2.187500    0.937500    1.562500    1.053630
  19    3.437500    7.187500    5.937500    6.562500    3.365534
  20    4.687500    0.937500    4.687500    2.812500    3.895942
  21    9.687500    5.937500    9.687500    7.812500    3.674277
  22    7.187500    3.437500    7.187500    0.312500    3.457496
  23    2.187500    8.437500    2.187500    5.312500    14940.588053
  24    1.562500    1.562500    5.312500    8.437500    5.749698
  25    6.562500    6.562500    0.312500    3.437500    532022516685064527501792472379022114816.000000
  26    9.062500    4.062500    2.812500    5.937500    2.632071
  27    4.062500    9.062500    7.812500    0.937500    3.579287
  28    2.812500    2.812500    1.562500    9.687500    1.870219
  29    7.812500    7.812500    6.562500    4.687500    3.471866
  30    5.312500    0.312500    9.062500    7.187500    2570481962.743062
  31    0.312500    5.312500    4.062500    2.187500    2.976317
  32    0.468750    2.656250    6.093750    5.781250    18.732966
  33    5.468750    7.656250    1.093750    0.781250    2762483254078743552.000000
  34    7.968750    0.156250    3.593750    8.281250    4.493340
  35    2.968750    5.156250    8.593750    3.281250    3.587200
  36    4.218750    1.406250    2.343750    7.031250    2.416581
  37    9.218750    6.406250    7.343750    2.031250    3.532140
  38    6.718750    3.906250    9.843750    9.531250    3.643963
  39    1.718750    8.906250    4.843750    4.531250    3.134190
  40    2.343750    0.781250    7.968750    1.406250    8833.766165
  41    7.343750    5.781250    2.968750    6.406250    2.579279
  42    9.843750    3.281250    0.468750    3.906250    118812867.934536
  43    4.843750    8.281250    5.468750    8.906250    3.315992
  44    3.593750    4.531250    4.218750    0.156250    3.021177
  45    8.593750    9.531250    9.218750    5.156250    3.699598
  46    6.093750    2.031250    6.718750    2.656250    3.520429
  47    1.093750    7.031250    1.718750    7.656250    256.197842
  48    0.781250    2.343750    2.656250    9.843750    3.403984
  49    5.781250    7.343750    7.656250    4.843750    3.554631
  50    8.281250    4.843750    5.156250    7.343750    3.249539
