State         Time     Position         c_LiPF6        velocity            Φ_2         Density        ω_LiPF6
  CDR        hours           um          mol/mL            cm/s               V            g/mL               -
  D        0.00000      0.00000    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.01250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.03750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.06250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.08750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.11250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.13750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.16250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.18750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.21250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.23750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.26250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.28750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.31250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.33750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.36250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.38750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.41250    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
  D        0.00000      0.43750    1.00000E-003    0.00000E+000    0.00000E+000    1.47395E+000    1.03060E-001
