        Time     Position            Conc
       hours           um           mol/L
     0.00000      0.00000     1.00000E+00
     0.00000      0.02500     1.00000E+00
     0.00000      0.07500     1.00000E+00
     0.00000      0.12500     1.00000E+00
     0.00000      0.17500     1.00000E+00
     0.00000      0.22500     1.00000E+00
     0.00000      0.27500     1.00000E+00
     0.00000      0.32500     1.00000E+00
     0.00000      0.37500     1.00000E+00
     0.00000      0.42500     1.00000E+00
     0.00000      0.47500     1.00000E+00
     0.00000      0.52500     1.00000E+00
     0.00000      0.57500     1.00000E+00
     0.00000      0.62500     1.00000E+00
     0.00000      0.67500     1.00000E+00
     0.00000      0.72500     1.00000E+00
     0.00000      0.77500     1.00000E+00
     0.00000      0.82500     1.00000E+00
     0.00000      0.87500     1.00000E+00
     0.00000      0.92500     1.00000E+00
     0.00000      0.97500     1.00000E+00
     0.00000      1.00000     1.00000E+00
     0.10000      0.00000     1.00000E+00
     0.10000      0.02500     9.84104E-01
     0.10000      0.07500     9.70906E-01
     0.10000      0.12500     9.66367E-01
     0.10000      0.17500     9.65053E-01
     0.10000      0.22500     9.64728E-01
     0.10000      0.27500     9.64658E-01
     0.10000      0.32500     9.64645E-01
     0.10000      0.37500     9.64642E-01
     0.10000      0.42500     9.64642E-01
     0.10000      0.47500     9.64642E-01
     0.10000      0.52500     9.64642E-01
     0.10000      0.57500     9.64642E-01
     0.10000      0.62500     9.64642E-01
     0.10000      0.67500     9.64644E-01
     0.10000      0.72500     9.64654E-01
     0.10000      0.77500     9.64704E-01
     0.10000      0.82500     9.64925E-01
     0.10000      0.87500     9.65771E-01
     0.10000      0.92500     9.68496E-01
     0.10000      0.97500     9.75703E-01
     0.10000      1.00000     9.83351E-01
     0.20000      0.00000     1.00000E+00
     0.20000      0.02500     9.77202E-01
     0.20000      0.07500     9.52073E-01
     0.20000      0.12500     9.39581E-01
     0.20000      0.17500     9.33993E-01
     0.20000      0.22500     9.31740E-01
     0.20000      0.27500     9.30919E-01
     0.20000      0.32500     9.30647E-01
     0.20000      0.37500     9.30565E-01
     0.20000      0.42500     9.30542E-01
     0.20000      0.47500     9.30536E-01
     0.20000      0.52500     9.30536E-01
     0.20000      0.57500     9.30539E-01
     0.20000      0.62500     9.30554E-01
     0.20000      0.67500     9.30605E-01
     0.20000      0.72500     9.30766E-01
     0.20000      0.77500     9.31229E-01
     0.20000      0.82500     9.32428E-01
     0.20000      0.87500     9.35207E-01
     0.20000      0.92500     9.40938E-01
     0.20000      0.97500     9.51411E-01
     0.20000      1.00000     9.59895E-01
     0.30000      0.00000     1.00000E+00
     0.30000      0.02500     9.72186E-01
     0.30000      0.07500     9.37767E-01
     0.30000      0.12500     9.17880E-01
     0.30000      0.17500     9.07187E-01
     0.30000      0.22500     9.01847E-01
     0.30000      0.27500     8.99371E-01
     0.30000      0.32500     8.98303E-01
     0.30000      0.37500     8.97875E-01
     0.30000      0.42500     8.97716E-01
     0.30000      0.47500     8.97664E-01
     0.30000      0.52500     8.97656E-01
     0.30000      0.57500     8.97682E-01
     0.30000      0.62500     8.97768E-01
     0.30000      0.67500     8.97993E-01
     0.30000      0.72500     8.98527E-01
     0.30000      0.77500     8.99703E-01
     0.30000      0.82500     9.02085E-01
