State         Time     Position            u
  CDR        hours           um            -
  D        0.00000      0.00000      0.00000
  D        0.00000      0.50000      0.00000
  D        0.00000      1.50000      0.00000
  D        0.00000      2.50000      0.00000
  D        0.00000      3.50000      0.00000
  D        0.00000      4.50000      0.00000
  D        0.00000      5.50000      0.00000
  D        0.00000      6.50000      0.00000
  D        0.00000      7.50000      0.00000
  D        0.00000      8.50000      0.00000
  D        0.00000      9.50000      0.00000
  D        0.00000     10.50000      0.00000
  D        0.00000     11.50000      0.00000
  D        0.00000     12.50000      0.00000
  D        0.00000     13.50000      0.00000
  D        0.00000     14.50000      0.00000
  D        0.00000     15.50000      0.00000
  D        0.00000     16.50000      0.00000
  D        0.00000     17.50000      0.00193
  D        0.00000     18.50000      0.10540
  D        0.00000     19.50000      0.77880
  D        0.00000     20.50000      0.77880
  D        0.00000     21.50000      0.10540
  D        0.00000     22.50000      0.00193
  D        0.00000     23.50000      0.00000
  D        0.00000     24.50000      0.00000
  D        0.00000     25.50000      0.00000
  D        0.00000     26.50000      0.00000
  D        0.00000     27.50000      0.00000
  D        0.00000     28.50000      0.00000
  D        0.00000     29.50000      0.00000
  D        0.00000     30.50000      0.00000
  D        0.00000     31.50000      0.00000
  D        0.00000     32.50000      0.00000
  D        0.00000     33.50000      0.00000
  D        0.00000     34.50000      0.00000
  D        0.00000     35.50000      0.00000
  D        0.00000     36.50000      0.00000
  D        0.00000     37.50000      0.00000
  D        0.00000     38.50000      0.00000
  D        0.00000     39.50000      0.00000
  D        0.00000     40.50000      0.00000
  D        0.00000     41.50000      0.00000
  D        0.00000     42.50000      0.00000
  D        0.00000     43.50000      0.00000
  D        0.00000     44.50000      0.00000
  D        0.00000     45.50000      0.00000
  D        0.00000     46.50000      0.00000
  D        0.00000     47.50000      0.00000
  D        0.00000     48.50000      0.00000
  D        0.00000     49.50000      0.00000
  D        0.00000     50.50000      0.00000
  D        0.00000     51.50000      0.00000
  D        0.00000     52.50000      0.00000
  D        0.00000     53.50000      0.00000
  D        0.00000     54.50000      0.00000
  D        0.00000     55.50000      0.00000
  D        0.00000     56.50000      0.00000
  D        0.00000     57.50000      0.00000
  D        0.00000     58.50000      0.00000
  D        0.00000     59.50000      0.00000
  D        0.00000     60.50000      0.00000
  D        0.00000     61.50000      0.00000
  D        0.00000     62.50000      0.00000
  D        0.00000     63.50000      0.00000
  D        0.00000     64.50000      0.00000
  D        0.00000     65.50000      0.00000
  D        0.00000     66.50000      0.00000
  D        0.00000     67.50000      0.00000
  D        0.00000     68.50000      0.00000
  D        0.00000     69.50000      0.00000
  D        0.00000     70.50000      0.00000
  D        0.00000     71.50000      0.00000
  D        0.00000     72.50000      0.00000
  D        0.00000     73.50000      0.00000
  D        0.00000     74.50000      0.00000
  D        0.00000     75.50000      0.00000
  D        0.00000     76.50000      0.00000
  D        0.00000     77.50000      0.00000
  D        0.00000     78.50000      0.00000
  D        0.00000     79.50000      0.00000
  D        0.00000     80.50000      0.00000
  D        0.00000     81.50000      0.00000
  D        0.00000     82.50000      0.00000
  D        0.00000     83.50000      0.00000
  D        0.00000     84.50000      0.00000
  D        0.00000     85.50000      0.00000
  D        0.00000     86.50000      0.00000
  D        0.00000     87.50000      0.00000
  D        0.00000     88.50000      0.00000
  D        0.00000     89.50000      0.00000
  D        0.00000     90.50000      0.00000
  D        0.00000     91.50000      0.00000
  D        0.00000     92.50000      0.00000
  D        0.00000     93.50000      0.00000
  D        0.00000     94.50000      0.00000
  D        0.00000     95.50000      0.00000
  D        0.00000     96.50000      0.00000
  D        0.00000     97.50000      0.00000
  D        0.00000     98.50000      0.00000
  D        0.00000     99.50000      0.00000
  D        0.00000    100.00000      0.00000
  D        0.00003      0.00000      0.00000
  D        0.00003      0.50000      0.00000
  D        0.00003      1.50000      0.00000
  D        0.00003      2.50000      0.00000
  D        0.00003      3.50000      0.00000
  D        0.00003      4.50000      0.00000
  D        0.00003      5.50000      0.00000
  D        0.00003      6.50000      0.00000
  D        0.00003      7.50000      0.00000
  D        0.00003      8.50000      0.00000
  D        0.00003      9.50000      0.00000
  D        0.00003     10.50000      0.00000
  D        0.00003     11.50000      0.00000
  D        0.00003     12.50000      0.00000
  D        0.00003     13.50000      0.00000
  D        0.00003     14.50000      0.00000
  D        0.00003     15.50000      0.00000
  D        0.00003     16.50000      0.00000
  D        0.00003     17.50000      0.00176
  D        0.00003     18.50000      0.09598
  D        0.00003     19.50000      0.71673
  D        0.00003     20.50000      0.77316
  D        0.00003     21.50000      0.16610
  D        0.00003     22.50000      0.01686
  D        0.00003     23.50000      0.00154
  D        0.00003     24.50000      0.00014
  D        0.00003     25.50000      0.00001
  D        0.00003     26.50000      0.00000
  D        0.00003     27.50000      0.00000
  D        0.00003     28.50000      0.00000
  D        0.00003     29.50000      0.00000
  D        0.00003     30.50000      0.00000
  D        0.00003     31.50000      0.00000
  D        0.00003     32.50000      0.00000
  D        0.00003     33.50000      0.00000
  D        0.00003     34.50000      0.00000
  D        0.00003     35.50000      0.00000
  D        0.00003     36.50000      0.00000
  D        0.00003     37.50000      0.00000
  D        0.00003     38.50000      0.00000
  D        0.00003     39.50000      0.00000
  D        0.00003     40.50000      0.00000
  D        0.00003     41.50000      0.00000
  D        0.00003     42.50000      0.00000
  D        0.00003     43.50000      0.00000
  D        0.00003     44.50000      0.00000
  D        0.00003     45.50000      0.00000
  D        0.00003     46.50000      0.00000
  D        0.00003     47.50000      0.00000
  D        0.00003     48.50000      0.00000
  D        0.00003     49.50000      0.00000
  D        0.00003     50.50000      0.00000
  D        0.00003     51.50000      0.00000
  D        0.00003     52.50000      0.00000
  D        0.00003     53.50000      0.00000
  D        0.00003     54.50000      0.00000
  D        0.00003     55.50000      0.00000
  D        0.00003     56.50000      0.00000
  D        0.00003     57.50000      0.00000
  D        0.00003     58.50000      0.00000
  D        0.00003     59.50000      0.00000
  D        0.00003     60.50000      0.00000
  D        0.00003     61.50000      0.00000
  D        0.00003     62.50000      0.00000
  D        0.00003     63.50000      0.00000
  D        0.00003     64.50000      0.00000
  D        0.00003     65.50000      0.00000
  D        0.00003     66.50000      0.00000
  D        0.00003     67.50000      0.00000
  D        0.00003     68.50000      0.00000
  D        0.00003     69.50000      0.00000
  D        0.00003     70.50000      0.00000
  D        0.00003     71.50000      0.00000
  D        0.00003     72.50000      0.00000
  D        0.00003     73.50000      0.00000
  D        0.00003     74.50000      0.00000
  D        0.00003     75.50000      0.00000
  D        0.00003     76.50000      0.00000
  D        0.00003     77.50000      0.00000
  D        0.00003     78.50000      0.00000
  D        0.00003     79.50000      0.00000
  D        0.00003     80.50000      0.00000
  D        0.00003     81.50000      0.00000
  D        0.00003     82.50000      0.00000
  D        0.00003     83.50000      0.00000
  D        0.00003     84.50000      0.00000
