State         Time     Position         Conc
  CDR        hours           um        mol/L
  D       0.00000E+00     0.00000E+00     0.00000E+00
  D       0.00000E+00     5.00000E-03     0.00000E+00
  D       0.00000E+00     1.50000E-02     0.00000E+00
  D       0.00000E+00     2.50000E-02     0.00000E+00
  D       0.00000E+00     3.50000E-02     0.00000E+00
  D       0.00000E+00     4.50000E-02     0.00000E+00
  D       0.00000E+00     5.50000E-02     0.00000E+00
  D       0.00000E+00     6.50000E-02     0.00000E+00
  D       0.00000E+00     7.50000E-02     0.00000E+00
  D       0.00000E+00     8.50000E-02     0.00000E+00
  D       0.00000E+00     9.50000E-02     0.00000E+00
  D       0.00000E+00     1.05000E-01     0.00000E+00
  D       0.00000E+00     1.15000E-01     0.00000E+00
  D       0.00000E+00     1.25000E-01     0.00000E+00
  D       0.00000E+00     1.35000E-01     0.00000E+00
  D       0.00000E+00     1.45000E-01     0.00000E+00
  D       0.00000E+00     1.55000E-01     0.00000E+00
  D       0.00000E+00     1.65000E-01     0.00000E+00
  D       0.00000E+00     1.75000E-01     0.00000E+00
  D       0.00000E+00     1.85000E-01     0.00000E+00
  D       0.00000E+00     1.95000E-01     0.00000E+00
  D       0.00000E+00     2.05000E-01     0.00000E+00
  D       0.00000E+00     2.15000E-01     0.00000E+00
  D       0.00000E+00     2.25000E-01     0.00000E+00
  D       0.00000E+00     2.35000E-01     0.00000E+00
  D       0.00000E+00     2.45000E-01     0.00000E+00
  D       0.00000E+00     2.55000E-01     0.00000E+00
  D       0.00000E+00     2.65000E-01     0.00000E+00
  D       0.00000E+00     2.75000E-01     0.00000E+00
  D       0.00000E+00     2.85000E-01     0.00000E+00
  D       0.00000E+00     2.95000E-01     0.00000E+00
  D       0.00000E+00     3.05000E-01     0.00000E+00
  D       0.00000E+00     3.15000E-01     0.00000E+00
  D       0.00000E+00     3.25000E-01     0.00000E+00
  D       0.00000E+00     3.35000E-01     0.00000E+00
  D       0.00000E+00     3.45000E-01     0.00000E+00
  D       0.00000E+00     3.55000E-01     0.00000E+00
  D       0.00000E+00     3.65000E-01     0.00000E+00
  D       0.00000E+00     3.75000E-01     0.00000E+00
  D       0.00000E+00     3.85000E-01     0.00000E+00
  D       0.00000E+00     3.95000E-01     0.00000E+00
  D       0.00000E+00     4.05000E-01     0.00000E+00
  D       0.00000E+00     4.15000E-01     0.00000E+00
  D       0.00000E+00     4.25000E-01     0.00000E+00
  D       0.00000E+00     4.35000E-01     0.00000E+00
  D       0.00000E+00     4.45000E-01     0.00000E+00
  D       0.00000E+00     4.55000E-01     0.00000E+00
  D       0.00000E+00     4.65000E-01     0.00000E+00
  D       0.00000E+00     4.75000E-01     0.00000E+00
  D       0.00000E+00     4.85000E-01     0.00000E+00
  D       0.00000E+00     4.95000E-01     0.00000E+00
  D       0.00000E+00     5.05000E-01     0.00000E+00
  D       0.00000E+00     5.15000E-01     0.00000E+00
  D       0.00000E+00     5.25000E-01     0.00000E+00
  D       0.00000E+00     5.35000E-01     0.00000E+00
  D       0.00000E+00     5.45000E-01     0.00000E+00
  D       0.00000E+00     5.55000E-01     0.00000E+00
  D       0.00000E+00     5.65000E-01     0.00000E+00
  D       0.00000E+00     5.75000E-01     0.00000E+00
  D       0.00000E+00     5.85000E-01     0.00000E+00
  D       0.00000E+00     5.95000E-01     0.00000E+00
  D       0.00000E+00     6.05000E-01     0.00000E+00
  D       0.00000E+00     6.15000E-01     0.00000E+00
  D       0.00000E+00     6.25000E-01     0.00000E+00
  D       0.00000E+00     6.35000E-01     0.00000E+00
  D       0.00000E+00     6.45000E-01     0.00000E+00
  D       0.00000E+00     6.55000E-01     0.00000E+00
  D       0.00000E+00     6.65000E-01     0.00000E+00
  D       0.00000E+00     6.75000E-01     0.00000E+00
  D       0.00000E+00     6.85000E-01     0.00000E+00
  D       0.00000E+00     6.95000E-01     0.00000E+00
  D       0.00000E+00     7.05000E-01     0.00000E+00
  D       0.00000E+00     7.15000E-01     0.00000E+00
  D       0.00000E+00     7.25000E-01     0.00000E+00
  D       0.00000E+00     7.35000E-01     0.00000E+00
  D       0.00000E+00     7.45000E-01     0.00000E+00
  D       0.00000E+00     7.55000E-01     0.00000E+00
  D       0.00000E+00     7.65000E-01     0.00000E+00
  D       0.00000E+00     7.75000E-01     0.00000E+00
  D       0.00000E+00     7.85000E-01     0.00000E+00
  D       0.00000E+00     7.95000E-01     0.00000E+00
  D       0.00000E+00     8.05000E-01     0.00000E+00
  D       0.00000E+00     8.15000E-01     0.00000E+00
  D       0.00000E+00     8.25000E-01     0.00000E+00
  D       0.00000E+00     8.35000E-01     0.00000E+00
  D       0.00000E+00     8.45000E-01     0.00000E+00
  D       0.00000E+00     8.55000E-01     0.00000E+00
  D       0.00000E+00     8.65000E-01     0.00000E+00
  D       0.00000E+00     8.75000E-01     0.00000E+00
  D       0.00000E+00     8.85000E-01     0.00000E+00
  D       0.00000E+00     8.95000E-01     0.00000E+00
  D       0.00000E+00     9.05000E-01     0.00000E+00
  D       0.00000E+00     9.15000E-01     0.00000E+00
  D       0.00000E+00     9.25000E-01     0.00000E+00
  D       0.00000E+00     9.35000E-01     0.00000E+00
  D       0.00000E+00     9.45000E-01     0.00000E+00
  D       0.00000E+00     9.55000E-01     0.00000E+00
  D       0.00000E+00     9.65000E-01     0.00000E+00
  D       0.00000E+00     9.75000E-01     0.00000E+00
  D       0.00000E+00     9.85000E-01     0.00000E+00
  D       0.00000E+00     9.95000E-01     0.00000E+00
  D       0.00000E+00     1.00000E+00     0.00000E+00
  D       2.77778E-06     0.00000E+00     2.00000E-03
  D       2.77778E-06     5.00000E-03     1.90477E-03
  D       2.77778E-06     1.50000E-02     1.73239E-03
  D       2.77778E-06     2.50000E-02     1.57562E-03
  D       2.77778E-06     3.50000E-02     1.43304E-03
  D       2.77778E-06     4.50000E-02     1.30336E-03
  D       2.77778E-06     5.50000E-02     1.18541E-03
  D       2.77778E-06     6.50000E-02     1.07814E-03
  D       2.77778E-06     7.50000E-02     9.80585E-04
  D       2.77778E-06     8.50000E-02     8.91856E-04
  D       2.77778E-06     9.50000E-02     8.11157E-04
  D       2.77778E-06     1.05000E-01     7.37764E-04
  D       2.77778E-06     1.15000E-01     6.71014E-04
  D       2.77778E-06     1.25000E-01     6.10307E-04
  D       2.77778E-06     1.35000E-01     5.55096E-04
  D       2.77778E-06     1.45000E-01     5.04884E-04
  D       2.77778E-06     1.55000E-01     4.59218E-04
  D       2.77778E-06     1.65000E-01     4.17688E-04
  D       2.77778E-06     1.75000E-01     3.79919E-04
  D       2.77778E-06     1.85000E-01     3.45572E-04
  D       2.77778E-06     1.95000E-01     3.14338E-04
  D       2.77778E-06     2.05000E-01     2.85934E-04
  D       2.77778E-06     2.15000E-01     2.60106E-04
  D       2.77778E-06     2.25000E-01     2.36620E-04
  D       2.77778E-06     2.35000E-01     2.15266E-04
  D       2.77778E-06     2.45000E-01     1.95851E-04
  D       2.77778E-06     2.55000E-01     1.78200E-04
  D       2.77778E-06     2.65000E-01     1.62155E-04
  D       2.77778E-06     2.75000E-01     1.47570E-04
  D       2.77778E-06     2.85000E-01     1.34316E-04
  D       2.77778E-06     2.95000E-01     1.22272E-04
  D       2.77778E-06     3.05000E-01     1.11331E-04
  D       2.77778E-06     3.15000E-01     1.01393E-04
  D       2.77778E-06     3.25000E-01     9.23702E-05
  D       2.77778E-06     3.35000E-01     8.41806E-05
  D       2.77778E-06     3.45000E-01     7.67510E-05
  D       2.77778E-06     3.55000E-01     7.00146E-05
  D       2.77778E-06     3.65000E-01     6.39109E-05
  D       2.77778E-06     3.75000E-01     5.83854E-05
  D       2.77778E-06     3.85000E-01     5.33884E-05
  D       2.77778E-06     3.95000E-01     4.88754E-05
  D       2.77778E-06     4.05000E-01     4.48060E-05
  D       2.77778E-06     4.15000E-01     4.11439E-05
  D       2.77778E-06     4.25000E-01     3.78567E-05
  D       2.77778E-06     4.35000E-01     3.49151E-05
  D       2.77778E-06     4.45000E-01     3.22933E-05
  D       2.77778E-06     4.55000E-01     2.99682E-05
  D       2.77778E-06     4.65000E-01     2.79196E-05
  D       2.77778E-06     4.75000E-01     2.61296E-05
  D       2.77778E-06     4.85000E-01     2.45831E-05
  D       2.77778E-06     4.95000E-01     2.32669E-05
  D       2.77778E-06     5.05000E-01     2.21702E-05
  D       2.77778E-06     5.15000E-01     2.12842E-05
  D       2.77778E-06     5.25000E-01     2.06023E-05
  D       2.77778E-06     5.35000E-01     2.01195E-05
  D       2.77778E-06     5.45000E-01     1.98331E-05
  D       2.77778E-06     5.55000E-01     1.97422E-05
  D       2.77778E-06     5.65000E-01     1.98478E-05
  D       2.77778E-06     5.75000E-01     2.01529E-05
  D       2.77778E-06     5.85000E-01     2.06626E-05
  D       2.77778E-06     5.95000E-01     2.13840E-05
  D       2.77778E-06     6.05000E-01     2.23265E-05
  D       2.77778E-06     6.15000E-01     2.35017E-05
  D       2.77778E-06     6.25000E-01     2.49236E-05
  D       2.77778E-06     6.35000E-01     2.66090E-05
  D       2.77778E-06     6.45000E-01     2.85773E-05
  D       2.77778E-06     6.55000E-01     3.08511E-05
  D       2.77778E-06     6.65000E-01     3.34562E-05
  D       2.77778E-06     6.75000E-01     3.64218E-05
  D       2.77778E-06     6.85000E-01     3.97814E-05
  D       2.77778E-06     6.95000E-01     4.35723E-05
  D       2.77778E-06     7.05000E-01     4.78369E-05
  D       2.77778E-06     7.15000E-01     5.26225E-05
  D       2.77778E-06     7.25000E-01     5.79821E-05
  D       2.77778E-06     7.35000E-01     6.39752E-05
  D       2.77778E-06     7.45000E-01     7.06680E-05
  D       2.77778E-06     7.55000E-01     7.81344E-05
  D       2.77778E-06     7.65000E-01     8.64567E-05
  D       2.77778E-06     7.75000E-01     9.57269E-05
  D       2.77778E-06     7.85000E-01     1.06047E-04
  D       2.77778E-06     7.95000E-01     1.17531E-04
  D       2.77778E-06     8.05000E-01     1.30305E-04
  D       2.77778E-06     8.15000E-01     1.44510E-04
  D       2.77778E-06     8.25000E-01     1.60301E-04
  D       2.77778E-06     8.35000E-01     1.77854E-04
  D       2.77778E-06     8.45000E-01     1.97361E-04
  D       2.77778E-06     8.55000E-01     2.19037E-04
  D       2.77778E-06     8.65000E-01     2.43120E-04
  D       2.77778E-06     8.75000E-01     2.69874E-04
  D       2.77778E-06     8.85000E-01     2.99595E-04
  D       2.77778E-06     8.95000E-01     3.32609E-04
  D       2.77778E-06     9.05000E-01     3.69280E-04
  D       2.77778E-06     9.15000E-01     4.10010E-04
  D       2.77778E-06     9.25000E-01     4.55247E-04
  D       2.77778E-06     9.35000E-01     5.05489E-04
  D       2.77778E-06     9.45000E-01     5.61289E-04
  D       2.77778E-06     9.55000E-01     6.23259E-04
  D       2.77778E-06     9.65000E-01     6.92082E-04
  D       2.77778E-06     9.75000E-01     7.68513E-04
  D       2.77778E-06     9.85000E-01     8.53395E-04
  D       2.77778E-06     9.95000E-01     9.47658E-04
  D       2.77778E-06     1.00000E+00     1.00000E-03
  D       5.55556E-06     0.00000E+00     2.00000E-03
  D       5.55556E-06     5.00000E-03     1.95464E-03
  D       5.55556E-06     1.50000E-02     1.86397E-03
  D       5.55556E-06     2.50000E-02     1.77371E-03
  D       5.55556E-06     3.50000E-02     1.68453E-03
  D       5.55556E-06     4.50000E-02     1.59697E-03
  D       5.55556E-06     5.50000E-02     1.51147E-03
  D       5.55556E-06     6.50000E-02     1.42837E-03
  D       5.55556E-06     7.50000E-02     1.34795E-03
  D       5.55556E-06     8.50000E-02     1.27039E-03
  D       5.55556E-06     9.50000E-02     1.19585E-03
  D       5.55556E-06     1.05000E-01     1.12441E-03
  D       5.55556E-06     1.15000E-01     1.05612E-03
  D       5.55556E-06     1.25000E-01     9.90996E-04
  D       5.55556E-06     1.35000E-01     9.29029E-04
  D       5.55556E-06     1.45000E-01     8.70182E-04
  D       5.55556E-06     1.55000E-01     8.14400E-04
  D       5.55556E-06     1.65000E-01     7.61612E-04
  D       5.55556E-06     1.75000E-01     7.11735E-04
  D       5.55556E-06     1.85000E-01     6.64677E-04
  D       5.55556E-06     1.95000E-01     6.20340E-04
  D       5.55556E-06     2.05000E-01     5.78619E-04
  D       5.55556E-06     2.15000E-01     5.39409E-04
  D       5.55556E-06     2.25000E-01     5.02599E-04
