      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
   1.00000E-001    0.00000E+000    1.00000E+001    0.00000E+000
   1.00000E-001    1.58489E+000    1.76059E+000   -1.77163E+000
   1.00000E-001    1.99526E+000    1.57997E+000   -1.57470E+000
   1.00000E-001    2.51189E+000    1.41367E+000   -1.40478E+000
   1.00000E-001    3.16228E+000    1.26150E+000   -1.25353E+000
   1.00000E-001    3.98107E+000    1.12458E+000   -1.11732E+000
   1.00000E-001    5.01187E+000    1.00276E+000   -9.95034E-001
   1.00000E-001    6.30957E+000    8.94566E-001   -8.85835E-001
   1.00000E-001    7.94328E+000    7.98320E-001   -7.88473E-001
   1.00000E-001    1.00000E+001    7.12653E-001   -7.01603E-001
   1.00000E-001    1.25893E+001    6.36438E-001   -6.24042E-001
   1.00000E-001    1.58489E+001    5.68672E-001   -5.54764E-001
   1.00000E-001    1.99526E+001    5.08456E-001   -4.92852E-001
   1.00000E-001    2.51189E+001    4.54994E-001   -4.37486E-001
   1.00000E-001    3.16228E+001    4.07577E-001   -3.87936E-001
   1.00000E-001    3.98107E+001    3.65581E-001   -3.43547E-001
   1.00000E-001    5.01187E+001    3.28453E-001   -3.03737E-001
   1.00000E-001    6.30957E+001    2.95705E-001   -2.67986E-001
   1.00000E-001    7.94328E+001    2.66911E-001   -2.35832E-001
   1.00000E-001    1.00000E+002    2.41701E-001   -2.06868E-001
   1.00000E-001    1.25893E+002    2.19750E-001   -1.80735E-001
   1.00000E-001    1.58489E+002    2.00782E-001   -1.57125E-001
   1.00000E-001    1.99526E+002    1.84557E-001   -1.35781E-001
   1.00000E-001    2.51189E+002    1.70869E-001   -1.16495E-001
   1.00000E-001    3.16228E+002    1.59526E-001   -9.91145E-002
   1.00000E-001    3.98107E+002    1.50345E-001   -8.35376E-002
   1.00000E-001    5.01187E+002    1.43122E-001   -6.97051E-002
   1.00000E-001    6.30957E+002    1.37624E-001   -5.75804E-002
   1.00000E-001    7.94328E+002    1.33586E-001   -4.71203E-002
   1.00000E-001    1.00000E+003    1.30721E-001   -3.82494E-002
   1.00000E-001    1.25893E+003    1.28750E-001   -3.08477E-002
   1.00000E-001    1.58489E+003    1.27428E-001   -2.47574E-002
   1.00000E-001    1.99526E+003    1.26559E-001   -1.98006E-002
   1.00000E-001    2.51189E+003    1.25994E-001   -1.57986E-002
   1.00000E-001    3.16228E+003    1.25632E-001   -1.25855E-002
   1.00000E-001    3.98107E+003    1.25401E-001   -1.00154E-002
   1.00000E-001    5.01187E+003    1.25254E-001   -7.96490E-003
   1.00000E-001    6.30957E+003    1.25160E-001   -6.33146E-003
   1.00000E-001    7.94328E+003    1.25101E-001   -5.03163E-003
   1.00000E-001    1.00000E+004    1.25064E-001   -3.99796E-003
   1.00000E-001    1.25893E+004    1.25040E-001   -3.17629E-003
   1.00000E-001    1.58489E+004    1.25025E-001   -2.52332E-003
   1.00000E-001    1.99526E+004    1.25016E-001   -2.00449E-003
   1.00000E-001    2.51189E+004    1.25010E-001   -1.59230E-003
   1.00000E-001    3.16228E+004    1.25006E-001   -1.26485E-003
   1.00000E-001    3.98107E+004    1.25004E-001   -1.00472E-003
   1.00000E-001    5.01187E+004    1.25003E-001   -7.98089E-004
   1.00000E-001    6.30957E+004    1.25002E-001   -6.33949E-004
   1.00000E-001    7.94328E+004    1.25001E-001   -5.03566E-004
   1.00000E-001    1.00000E+005    1.25001E-001   -3.99998E-004
