      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-01     1.00000E-05     5.00000E+00    -4.16406E-05
    1.00000E-01     1.25893E-05     5.00000E+00    -5.24224E-05
    1.00000E-01     1.58489E-05     5.00000E+00    -6.59959E-05
    1.00000E-01     1.99526E-05     5.00000E+00    -8.30840E-05
    1.00000E-01     2.51189E-05     5.00000E+00    -1.04597E-04
    1.00000E-01     3.16228E-05     5.00000E+00    -1.31679E-04
    1.00000E-01     3.98107E-05     5.00000E+00    -1.65774E-04
    1.00000E-01     5.01187E-05     5.00000E+00    -2.08697E-04
    1.00000E-01     6.30957E-05     5.00000E+00    -2.62735E-04
    1.00000E-01     7.94328E-05     5.00000E+00    -3.30763E-04
    1.00000E-01     1.00000E-04     5.00000E+00    -4.16406E-04
    1.00000E-01     1.25893E-04     5.00000E+00    -5.24224E-04
    1.00000E-01     1.58489E-04     5.00000E+00    -6.59959E-04
    1.00000E-01     1.99526E-04     5.00000E+00    -8.30840E-04
    1.00000E-01     2.51189E-04     5.00000E+00    -1.04597E-03
    1.00000E-01     3.16228E-04     5.00000E+00    -1.31679E-03
    1.00000E-01     3.98107E-04     5.00000E+00    -1.65774E-03
    1.00000E-01     5.01187E-04     5.00000E+00    -2.08697E-03
    1.00000E-01     6.30957E-04     5.00000E+00    -2.62734E-03
    1.00000E-01     7.94328E-04     5.00000E+00    -3.30763E-03
    1.00000E-01     1.00000E-03     5.00000E+00    -4.16406E-03
    1.00000E-01     1.25893E-03     4.99999E+00    -5.24224E-03
    1.00000E-01     1.58489E-03     4.99999E+00    -6.59958E-03
    1.00000E-01     1.99526E-03     4.99998E+00    -8.30836E-03
    1.00000E-01     2.51189E-03     4.99997E+00    -1.04596E-02
    1.00000E-01     3.16228E-03     4.99996E+00    -1.31678E-02
    1.00000E-01     3.98107E-03     4.99993E+00    -1.65772E-02
    1.00000E-01     5.01187E-03     4.99990E+00    -2.08692E-02
    1.00000E-01     6.30957E-03     4.99983E+00    -2.62724E-02
    1.00000E-01     7.94328E-03     4.99974E+00    -3.30742E-02
    1.00000E-01     1.00000E-02     4.99958E+00    -4.16364E-02
    1.00000E-01     1.25893E-02     4.99934E+00    -5.24140E-02
    1.00000E-01     1.58489E-02     4.99895E+00    -6.59792E-02
    1.00000E-01     1.99526E-02     4.99834E+00    -8.30505E-02
    1.00000E-01     2.51189E-02     4.99737E+00    -1.04530E-01
    1.00000E-01     3.16228E-02     4.99584E+00    -1.31546E-01
