      Diff_Coef       Frequency         Real(c)         Imag(c)
          cm2/s              Hz                                
    1.00000E-01     1.00000E-05     1.00000E+01    -3.33281E-04
    1.00000E-01     1.25893E-05     1.00000E+01    -4.19576E-04
    1.00000E-01     1.58489E-05     1.00000E+01    -5.28215E-04
    1.00000E-01     1.99526E-05     1.00000E+01    -6.64984E-04
    1.00000E-01     2.51189E-05     1.00000E+01    -8.37165E-04
    1.00000E-01     3.16228E-05     1.00000E+01    -1.05393E-03
    1.00000E-01     3.98107E-05     1.00000E+01    -1.32682E-03
    1.00000E-01     5.01187E-05     1.00000E+01    -1.67036E-03
    1.00000E-01     6.30957E-05     1.00000E+01    -2.10286E-03
    1.00000E-01     7.94328E-05     1.00000E+01    -2.64735E-03
    1.00000E-01     1.00000E-04     1.00000E+01    -3.33281E-03
    1.00000E-01     1.25893E-04     1.00000E+01    -4.19576E-03
    1.00000E-01     1.58489E-04     1.00000E+01    -5.28215E-03
    1.00000E-01     1.99526E-04     9.99999E+00    -6.64983E-03
    1.00000E-01     2.51189E-04     9.99999E+00    -8.37164E-03
    1.00000E-01     3.16228E-04     9.99999E+00    -1.05393E-02
    1.00000E-01     3.98107E-04     9.99998E+00    -1.32681E-02
    1.00000E-01     5.01187E-04     9.99997E+00    -1.67036E-02
    1.00000E-01     6.30957E-04     9.99995E+00    -2.10285E-02
    1.00000E-01     7.94328E-04     9.99992E+00    -2.64732E-02
    1.00000E-01     1.00000E-03     9.99987E+00    -3.33276E-02
    1.00000E-01     1.25893E-03     9.99979E+00    -4.19565E-02
    1.00000E-01     1.58489E-03     9.99967E+00    -5.28194E-02
    1.00000E-01     1.99526E-03     9.99947E+00    -6.64941E-02
    1.00000E-01     2.51189E-03     9.99916E+00    -8.37079E-02
    1.00000E-01     3.16228E-03     9.99867E+00    -1.05376E-01
    1.00000E-01     3.98107E-03     9.99789E+00    -1.32648E-01
    1.00000E-01     5.01187E-03     9.99665E+00    -1.66968E-01
    1.00000E-01     6.30957E-03     9.99470E+00    -2.10151E-01
    1.00000E-01     7.94328E-03     9.99160E+00    -2.64464E-01
    1.00000E-01     1.00000E-02     9.98669E+00    -3.32742E-01
    1.00000E-01     1.25893E-02     9.97892E+00    -4.18502E-01
    1.00000E-01     1.58489E-02     9.96665E+00    -5.26075E-01
    1.00000E-01     1.99526E-02     9.94726E+00    -6.60724E-01
    1.00000E-01     2.51189E-02     9.91673E+00    -8.28698E-01
    1.00000E-01     3.16228E-02     9.86882E+00    -1.03714E+00
    1.00000E-01     3.98107E-02     9.79404E+00    -1.29362E+00
    1.00000E-01     5.01187E-02     9.67834E+00    -1.60511E+00
    1.00000E-01     6.30957E-02     9.50173E+00    -1.97561E+00
    1.00000E-01     7.94328E-02     9.23763E+00    -2.40224E+00
    1.00000E-01     1.00000E-01     8.85455E+00    -2.86922E+00
    1.00000E-01     1.25893E-01     8.32277E+00    -3.34128E+00
    1.00000E-01     1.58489E-01     7.62784E+00    -3.76100E+00
    1.00000E-01     1.99526E-01     6.78794E+00    -4.05756E+00
    1.00000E-01     2.51189E-01     5.86327E+00    -4.17071E+00
    1.00000E-01     3.16228E-01     4.94358E+00    -4.07965E+00
    1.00000E-01     3.98107E-01     4.11530E+00    -3.81485E+00
    1.00000E-01     5.01187E-01     3.43082E+00    -3.44207E+00
    1.00000E-01     6.30957E-01     2.89980E+00    -3.03249E+00
    1.00000E-01     7.94328E-01     2.50095E+00    -2.64037E+00
    1.00000E-01     1.00000E+00     2.19973E+00    -2.29584E+00
    1.00000E-01     1.25893E+00     1.96182E+00    -2.00798E+00
    1.00000E-01     1.58489E+00     1.76059E+00    -1.77163E+00
    1.00000E-01     1.99526E+00     1.57997E+00    -1.57470E+00
    1.00000E-01     2.51189E+00     1.41367E+00    -1.40478E+00
    1.00000E-01     3.16228E+00     1.26150E+00    -1.25353E+00
    1.00000E-01     3.98107E+00     1.12458E+00    -1.11732E+00
    1.00000E-01     5.01187E+00     1.00276E+00    -9.95034E-01
    1.00000E-01     6.30957E+00     8.94566E-01    -8.85835E-01
    1.00000E-01     7.94328E+00     7.98320E-01    -7.88473E-01
    1.00000E-01     1.00000E+01     7.12653E-01    -7.01603E-01
    1.00000E-01     1.25893E+01     6.36438E-01    -6.24042E-01
    1.00000E-01     1.58489E+01     5.68672E-01    -5.54764E-01
    1.00000E-01     1.99526E+01     5.08456E-01    -4.92852E-01
    1.00000E-01     2.51189E+01     4.54994E-01    -4.37486E-01
    1.00000E-01     3.16228E+01     4.07577E-01    -3.87936E-01
    1.00000E-01     3.98107E+01     3.65581E-01    -3.43547E-01
    1.00000E-01     5.01187E+01     3.28453E-01    -3.03737E-01
    1.00000E-01     6.30957E+01     2.95705E-01    -2.67986E-01
    1.00000E-01     7.94328E+01     2.66911E-01    -2.35832E-01
    1.00000E-01     1.00000E+02     2.41701E-01    -2.06868E-01
    1.00000E-01     1.25893E+02     2.19750E-01    -1.80735E-01
    1.00000E-01     1.58489E+02     2.00782E-01    -1.57125E-01
    1.00000E-01     1.99526E+02     1.84557E-01    -1.35781E-01
    1.00000E-01     2.51189E+02     1.70869E-01    -1.16495E-01
    1.00000E-01     3.16228E+02     1.59526E-01    -9.91145E-02
    1.00000E-01     3.98107E+02     1.50345E-01    -8.35376E-02
    1.00000E-01     5.01187E+02     1.43122E-01    -6.97051E-02
    1.00000E-01     6.30957E+02     1.37624E-01    -5.75804E-02
    1.00000E-01     7.94328E+02     1.33586E-01    -4.71203E-02
    1.00000E-01     1.00000E+03     1.30721E-01    -3.82494E-02
    1.00000E-01     1.25893E+03     1.28750E-01    -3.08477E-02
    1.00000E-01     1.58489E+03     1.27428E-01    -2.47574E-02
    1.00000E-01     1.99526E+03     1.26559E-01    -1.98006E-02
    1.00000E-01     2.51189E+03     1.25994E-01    -1.57986E-02
    1.00000E-01     3.16228E+03     1.25632E-01    -1.25855E-02
    1.00000E-01     3.98107E+03     1.25401E-01    -1.00154E-02
    1.00000E-01     5.01187E+03     1.25254E-01    -7.96490E-03
    1.00000E-01     6.30957E+03     1.25160E-01    -6.33146E-03
    1.00000E-01     7.94328E+03     1.25101E-01    -5.03163E-03
    1.00000E-01     1.00000E+04     1.25064E-01    -3.99796E-03
    1.00000E-01     1.25893E+04     1.25040E-01    -3.17629E-03
    1.00000E-01     1.58489E+04     1.25025E-01    -2.52332E-03
    1.00000E-01     1.99526E+04     1.25016E-01    -2.00449E-03
    1.00000E-01     2.51189E+04     1.25010E-01    -1.59230E-03
    1.00000E-01     3.16228E+04     1.25006E-01    -1.26485E-03
    1.00000E-01     3.98107E+04     1.25004E-01    -1.00472E-03
    1.00000E-01     5.01187E+04     1.25003E-01    -7.98089E-04
    1.00000E-01     6.30957E+04     1.25002E-01    -6.33949E-04
    1.00000E-01     7.94328E+04     1.25001E-01    -5.03566E-04
    1.00000E-01     1.00000E+05     1.25001E-01    -3.99998E-04
    1.00000E-02     1.00000E-05     1.00000E+02    -3.33281E-02
    1.00000E-02     1.25893E-05     1.00000E+02    -4.19576E-02
    1.00000E-02     1.58489E-05     1.00000E+02    -5.28215E-02
    1.00000E-02     1.99526E-05     9.99999E+01    -6.64983E-02
    1.00000E-02     2.51189E-05     9.99999E+01    -8.37164E-02
    1.00000E-02     3.16228E-05     9.99999E+01    -1.05393E-01
    1.00000E-02     3.98107E-05     9.99998E+01    -1.32681E-01
    1.00000E-02     5.01187E-05     9.99997E+01    -1.67036E-01
    1.00000E-02     6.30957E-05     9.99995E+01    -2.10285E-01
    1.00000E-02     7.94328E-05     9.99992E+01    -2.64732E-01
    1.00000E-02     1.00000E-04     9.99987E+01    -3.33276E-01
    1.00000E-02     1.25893E-04     9.99979E+01    -4.19565E-01
    1.00000E-02     1.58489E-04     9.99967E+01    -5.28194E-01
    1.00000E-02     1.99526E-04     9.99947E+01    -6.64941E-01
    1.00000E-02     2.51189E-04     9.99916E+01    -8.37079E-01
    1.00000E-02     3.16228E-04     9.99867E+01    -1.05376E+00
    1.00000E-02     3.98107E-04     9.99789E+01    -1.32648E+00
    1.00000E-02     5.01187E-04     9.99665E+01    -1.66968E+00
    1.00000E-02     6.30957E-04     9.99470E+01    -2.10151E+00
    1.00000E-02     7.94328E-04     9.99160E+01    -2.64464E+00
    1.00000E-02     1.00000E-03     9.98669E+01    -3.32742E+00
    1.00000E-02     1.25893E-03     9.97892E+01    -4.18502E+00
    1.00000E-02     1.58489E-03     9.96665E+01    -5.26075E+00
    1.00000E-02     1.99526E-03     9.94726E+01    -6.60724E+00
    1.00000E-02     2.51189E-03     9.91673E+01    -8.28698E+00
    1.00000E-02     3.16228E-03     9.86882E+01    -1.03714E+01
    1.00000E-02     3.98107E-03     9.79404E+01    -1.29362E+01
    1.00000E-02     5.01187E-03     9.67834E+01    -1.60511E+01
    1.00000E-02     6.30957E-03     9.50173E+01    -1.97561E+01
    1.00000E-02     7.94328E-03     9.23763E+01    -2.40224E+01
    1.00000E-02     1.00000E-02     8.85455E+01    -2.86922E+01
    1.00000E-02     1.25893E-02     8.32277E+01    -3.34128E+01
    1.00000E-02     1.58489E-02     7.62784E+01    -3.76100E+01
    1.00000E-02     1.99526E-02     6.78794E+01    -4.05756E+01
    1.00000E-02     2.51189E-02     5.86327E+01    -4.17071E+01
    1.00000E-02     3.16228E-02     4.94358E+01    -4.07965E+01
    1.00000E-02     3.98107E-02     4.11530E+01    -3.81485E+01
    1.00000E-02     5.01187E-02     3.43082E+01    -3.44207E+01
    1.00000E-02     6.30957E-02     2.89980E+01    -3.03249E+01
    1.00000E-02     7.94328E-02     2.50095E+01    -2.64037E+01
    1.00000E-02     1.00000E-01     2.19973E+01    -2.29584E+01
    1.00000E-02     1.25893E-01     1.96182E+01    -2.00798E+01
    1.00000E-02     1.58489E-01     1.76059E+01    -1.77163E+01
    1.00000E-02     1.99526E-01     1.57997E+01    -1.57470E+01
    1.00000E-02     2.51189E-01     1.41367E+01    -1.40478E+01
    1.00000E-02     3.16228E-01     1.26150E+01    -1.25353E+01
    1.00000E-02     3.98107E-01     1.12458E+01    -1.11732E+01
    1.00000E-02     5.01187E-01     1.00276E+01    -9.95034E+00
    1.00000E-02     6.30957E-01     8.94566E+00    -8.85835E+00
    1.00000E-02     7.94328E-01     7.98320E+00    -7.88473E+00
    1.00000E-02     1.00000E+00     7.12653E+00    -7.01603E+00
    1.00000E-02     1.25893E+00     6.36438E+00    -6.24042E+00
    1.00000E-02     1.58489E+00     5.68672E+00    -5.54764E+00
    1.00000E-02     1.99526E+00     5.08456E+00    -4.92852E+00
    1.00000E-02     2.51189E+00     4.54994E+00    -4.37486E+00
    1.00000E-02     3.16228E+00     4.07577E+00    -3.87936E+00
    1.00000E-02     3.98107E+00     3.65581E+00    -3.43547E+00
    1.00000E-02     5.01187E+00     3.28453E+00    -3.03737E+00
    1.00000E-02     6.30957E+00     2.95705E+00    -2.67986E+00
    1.00000E-02     7.94328E+00     2.66911E+00    -2.35832E+00
    1.00000E-02     1.00000E+01     2.41701E+00    -2.06868E+00
    1.00000E-02     1.25893E+01     2.19750E+00    -1.80735E+00
    1.00000E-02     1.58489E+01     2.00782E+00    -1.57125E+00
    1.00000E-02     1.99526E+01     1.84557E+00    -1.35781E+00
    1.00000E-02     2.51189E+01     1.70869E+00    -1.16495E+00
    1.00000E-02     3.16228E+01     1.59526E+00    -9.91145E-01
    1.00000E-02     3.98107E+01     1.50345E+00    -8.35376E-01
