      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   1.25893E+000    0.00000E+000    2.02781E+000   -1.97341E+000
   1.25893E+000    1.25000E-002    1.90281E+000   -1.97341E+000
   1.25893E+000    3.75000E-002    1.66833E+000   -1.95844E+000
   1.25893E+000    6.25000E-002    1.44927E+000   -1.93034E+000
   1.25893E+000    8.75000E-002    1.24540E+000   -1.89084E+000
   1.25893E+000    1.12500E-001    1.05640E+000   -1.84154E+000
   1.25893E+000    1.37500E-001    8.81893E-001   -1.78392E+000
   1.25893E+000    1.62500E-001    7.21422E-001   -1.71937E+000
   1.25893E+000    1.87500E-001    5.74480E-001   -1.64914E+000
   1.25893E+000    2.12500E-001    4.40513E-001   -1.57439E+000
   1.25893E+000    2.37500E-001    3.18934E-001   -1.49618E+000
   1.25893E+000    2.62500E-001    2.09128E-001   -1.41545E+000
   1.25893E+000    2.87500E-001    1.10459E-001   -1.33308E+000
   1.25893E+000    3.12500E-001    2.22790E-002   -1.24985E+000
   1.25893E+000    3.37500E-001   -5.60669E-002   -1.16643E+000
   1.25893E+000    3.62500E-001   -1.25235E-001   -1.08346E+000
   1.25893E+000    3.87500E-001   -1.85878E-001   -1.00147E+000
   1.25893E+000    4.12500E-001   -2.38641E-001   -9.20946E-001
   1.25893E+000    4.37500E-001   -2.84158E-001   -8.42298E-001
   1.25893E+000    4.62500E-001   -3.23048E-001   -7.65887E-001
   1.25893E+000    4.87500E-001   -3.55911E-001   -6.92017E-001
   1.25893E+000    5.12500E-001   -3.83330E-001   -6.20947E-001
   1.25893E+000    5.37500E-001   -4.05862E-001   -5.52894E-001
   1.25893E+000    5.62500E-001   -4.24044E-001   -4.88035E-001
   1.25893E+000    5.87500E-001   -4.38387E-001   -4.26511E-001
   1.25893E+000    6.12500E-001   -4.49373E-001   -3.68437E-001
   1.25893E+000    6.37500E-001   -4.57460E-001   -3.13899E-001
   1.25893E+000    6.62500E-001   -4.63078E-001   -2.62961E-001
   1.25893E+000    6.87500E-001   -4.66626E-001   -2.15666E-001
   1.25893E+000    7.12500E-001   -4.68478E-001   -1.72042E-001
   1.25893E+000    7.37500E-001   -4.68976E-001   -1.32105E-001
   1.25893E+000    7.62500E-001   -4.68434E-001   -9.58573E-002
   1.25893E+000    7.87500E-001   -4.67139E-001   -6.32958E-002
   1.25893E+000    8.12500E-001   -4.65345E-001   -3.44098E-002
   1.25893E+000    8.37500E-001   -4.63280E-001   -9.18527E-003
   1.25893E+000    8.62500E-001   -4.61143E-001    1.23940E-002
   1.25893E+000    8.87500E-001   -4.59104E-001    3.03449E-002
   1.25893E+000    9.12500E-001   -4.57303E-001    4.46835E-002
   1.25893E+000    9.37500E-001   -4.55855E-001    5.54238E-002
   1.25893E+000    9.62500E-001   -4.54842E-001    6.25774E-002
   1.25893E+000    9.87500E-001   -4.54321E-001    6.61521E-002
   1.25893E+000    1.00000E+000   -4.54321E-001    6.61521E-002
   1.58489E+000    0.00000E+000    1.79626E+000   -1.77625E+000
   1.58489E+000    1.25000E-002    1.67126E+000   -1.77625E+000
   1.58489E+000    3.75000E-002    1.43886E+000   -1.75970E+000
   1.58489E+000    6.25000E-002    1.22388E+000   -1.72889E+000
   1.58489E+000    8.75000E-002    1.02604E+000   -1.68596E+000
   1.58489E+000    1.12500E-001    8.44888E-001   -1.63286E+000
   1.58489E+000    1.37500E-001    6.79914E-001   -1.57140E+000
   1.58489E+000    1.62500E-001    5.30505E-001   -1.50320E+000
   1.58489E+000    1.87500E-001    3.95987E-001   -1.42975E+000
   1.58489E+000    2.12500E-001    2.75631E-001   -1.35237E+000
   1.58489E+000    2.37500E-001    1.68672E-001   -1.27227E+000
   1.58489E+000    2.62500E-001    7.43146E-002   -1.19049E+000
   1.58489E+000    2.87500E-001   -8.25008E-003   -1.10798E+000
   1.58489E+000    3.12500E-001   -7.98396E-002   -1.02554E+000
   1.58489E+000    3.37500E-001   -1.41271E-001   -9.43904E-001
   1.58489E+000    3.62500E-001   -1.93352E-001   -8.63662E-001
   1.58489E+000    3.87500E-001   -2.36878E-001   -7.85337E-001
   1.58489E+000    4.12500E-001   -2.72624E-001   -7.09357E-001
   1.58489E+000    4.37500E-001   -3.01344E-001   -6.36078E-001
   1.58489E+000    4.62500E-001   -3.23764E-001   -5.65784E-001
   1.58489E+000    4.87500E-001   -3.40579E-001   -4.98697E-001
   1.58489E+000    5.12500E-001   -3.52454E-001   -4.34984E-001
   1.58489E+000    5.37500E-001   -3.60020E-001   -3.74762E-001
   1.58489E+000    5.62500E-001   -3.63874E-001   -3.18106E-001
   1.58489E+000    5.87500E-001   -3.64577E-001   -2.65055E-001
   1.58489E+000    6.12500E-001   -3.62655E-001   -2.15615E-001
   1.58489E+000    6.37500E-001   -3.58597E-001   -1.69767E-001
   1.58489E+000    6.62500E-001   -3.52857E-001   -1.27472E-001
   1.58489E+000    6.87500E-001   -3.45854E-001   -8.86711E-002
   1.58489E+000    7.12500E-001   -3.37973E-001   -5.32966E-002
   1.58489E+000    7.37500E-001   -3.29564E-001   -2.12700E-002
   1.58489E+000    7.62500E-001   -3.20945E-001    7.49219E-003
   1.58489E+000    7.87500E-001   -3.12399E-001    3.30752E-002
   1.58489E+000    8.12500E-001   -3.04182E-001    5.55637E-002
   1.58489E+000    8.37500E-001   -2.96514E-001    7.50391E-002
   1.58489E+000    8.62500E-001   -2.89590E-001    9.15774E-002
   1.58489E+000    8.87500E-001   -2.83574E-001    1.05247E-001
   1.58489E+000    9.12500E-001   -2.78599E-001    1.16108E-001
   1.58489E+000    9.37500E-001   -2.74775E-001    1.24209E-001
   1.58489E+000    9.62500E-001   -2.72181E-001    1.29588E-001
   1.58489E+000    9.87500E-001   -2.70871E-001    1.32271E-001
   1.58489E+000    1.00000E+000   -2.70871E-001    1.32271E-001
   1.99526E+000    0.00000E+000    1.59102E+000   -1.58642E+000
   1.99526E+000    1.25000E-002    1.46602E+000   -1.58642E+000
   1.99526E+000    3.75000E-002    1.23581E+000   -1.56814E+000
   1.99526E+000    6.25000E-002    1.02514E+000   -1.53445E+000
   1.99526E+000    8.75000E-002    8.33619E-001   -1.48797E+000
   1.99526E+000    1.12500E-001    6.60648E-001   -1.43110E+000
   1.99526E+000    1.37500E-001    5.05523E-001   -1.36598E+000
   1.99526E+000    1.62500E-001    3.67433E-001   -1.29457E+000
   1.99526E+000    1.87500E-001    2.45487E-001   -1.21857E+000
   1.99526E+000    2.12500E-001    1.38737E-001   -1.13951E+000
   1.99526E+000    2.37500E-001    4.61968E-002   -1.05873E+000
   1.99526E+000    2.62500E-001   -3.31405E-002   -9.77362E-001
   1.99526E+000    2.87500E-001   -1.00290E-001   -8.96410E-001
   1.99526E+000    3.12500E-001   -1.56260E-001   -8.16710E-001
   1.99526E+000    3.37500E-001   -2.02046E-001   -7.38958E-001
   1.99526E+000    3.62500E-001   -2.38617E-001   -6.63725E-001
   1.99526E+000    3.87500E-001   -2.66911E-001   -5.91469E-001
   1.99526E+000    4.12500E-001   -2.87829E-001   -5.22540E-001
   1.99526E+000    4.37500E-001   -3.02231E-001   -4.57202E-001
   1.99526E+000    4.62500E-001   -3.10931E-001   -3.95632E-001
   1.99526E+000    4.87500E-001   -3.14698E-001   -3.37939E-001
   1.99526E+000    5.12500E-001   -3.14250E-001   -2.84171E-001
   1.99526E+000    5.37500E-001   -3.10259E-001   -2.34322E-001
   1.99526E+000    5.62500E-001   -3.03346E-001   -1.88341E-001
   1.99526E+000    5.87500E-001   -2.94083E-001   -1.46144E-001
   1.99526E+000    6.12500E-001   -2.82999E-001   -1.07614E-001
   1.99526E+000    6.37500E-001   -2.70572E-001   -7.26128E-002
   1.99526E+000    6.62500E-001   -2.57240E-001   -4.09860E-002
   1.99526E+000    6.87500E-001   -2.43397E-001   -1.25671E-002
   1.99526E+000    7.12500E-001   -2.29397E-001    1.28166E-002
   1.99526E+000    7.37500E-001   -2.15557E-001    3.53397E-002
   1.99526E+000    7.62500E-001   -2.02158E-001    5.51746E-002
   1.99526E+000    7.87500E-001   -1.89446E-001    7.24886E-002
   1.99526E+000    8.12500E-001   -1.77639E-001    8.74401E-002
   1.99526E+000    8.37500E-001   -1.66922E-001    1.00176E-001
   1.99526E+000    8.62500E-001   -1.57454E-001    1.10831E-001
   1.99526E+000    8.87500E-001   -1.49369E-001    1.19522E-001
   1.99526E+000    9.12500E-001   -1.42774E-001    1.26351E-001
   1.99526E+000    9.37500E-001   -1.37754E-001    1.31399E-001
   1.99526E+000    9.62500E-001   -1.34373E-001    1.34729E-001
   1.99526E+000    9.87500E-001   -1.32673E-001    1.36383E-001
   1.99526E+000    1.00000E+000   -1.32673E-001    1.36383E-001
   2.51189E+000    0.00000E+000    1.41359E+000   -1.41142E+000
   2.51189E+000    1.25000E-002    1.28859E+000   -1.41142E+000
   2.51189E+000    3.75000E-002    1.06075E+000   -1.39119E+000
   2.51189E+000    6.25000E-002    8.54748E-001   -1.35430E+000
   2.51189E+000    8.75000E-002    6.70009E-001   -1.30400E+000
   2.51189E+000    1.12500E-001    5.05741E-001   -1.24318E+000
   2.51189E+000    1.37500E-001    3.60990E-001   -1.17442E+000
   2.51189E+000    1.62500E-001    2.34677E-001   -1.09999E+000
   2.51189E+000    1.87500E-001    1.25634E-001   -1.02188E+000
   2.51189E+000    2.12500E-001    3.26325E-002   -9.41797E-001
   2.51189E+000    2.37500E-001   -4.55830E-002   -8.61201E-001
   2.51189E+000    2.62500E-001   -1.10278E-001   -7.81320E-001
   2.51189E+000    2.87500E-001   -1.62707E-001   -7.03170E-001
   2.51189E+000    3.12500E-001   -2.04097E-001   -6.27575E-001
   2.51189E+000    3.37500E-001   -2.35635E-001   -5.55184E-001
   2.51189E+000    3.62500E-001   -2.58456E-001   -4.86492E-001
   2.51189E+000    3.87500E-001   -2.73640E-001   -4.21858E-001
   2.51189E+000    4.12500E-001   -2.82201E-001   -3.61519E-001
   2.51189E+000    4.37500E-001   -2.85086E-001   -3.05611E-001
   2.51189E+000    4.62500E-001   -2.83173E-001   -2.54179E-001
   2.51189E+000    4.87500E-001   -2.77270E-001   -2.07193E-001
   2.51189E+000    5.12500E-001   -2.68115E-001   -1.64559E-001
   2.51189E+000    5.37500E-001   -2.56375E-001   -1.26134E-001
   2.51189E+000    5.62500E-001   -2.42656E-001   -9.17348E-002
   2.51189E+000    5.87500E-001   -2.27496E-001   -6.11448E-002
   2.51189E+000    6.12500E-001   -2.11377E-001   -3.41263E-002
   2.51189E+000    6.37500E-001   -1.94722E-001   -1.04262E-002
   2.51189E+000    6.62500E-001   -1.77903E-001    1.02168E-002
   2.51189E+000    6.87500E-001   -1.61244E-001    2.80669E-002
   2.51189E+000    7.12500E-001   -1.45026E-001    4.33856E-002
   2.51189E+000    7.37500E-001   -1.29489E-001    5.64275E-002
   2.51189E+000    7.62500E-001   -1.14838E-001    6.74365E-002
   2.51189E+000    7.87500E-001   -1.01246E-001    7.66426E-002
   2.51189E+000    8.12500E-001   -8.88570E-002    8.42592E-002
   2.51189E+000    8.37500E-001   -7.77908E-002    9.04808E-002
   2.51189E+000    8.62500E-001   -6.81451E-002    9.54812E-002
   2.51189E+000    8.87500E-001   -5.99983E-002    9.94117E-002
   2.51189E+000    9.12500E-001   -5.34123E-002    1.02400E-001
   2.51189E+000    9.37500E-001   -4.84338E-002    1.04550E-001
   2.51189E+000    9.62500E-001   -4.50968E-002    1.05940E-001
   2.51189E+000    9.87500E-001   -4.34229E-002    1.06622E-001
   2.51189E+000    1.00000E+000   -4.34229E-002    1.06622E-001
   3.16228E+000    0.00000E+000    1.25959E+000   -1.25513E+000
   3.16228E+000    1.25000E-002    1.13459E+000   -1.25513E+000
   3.16228E+000    3.75000E-002    9.09396E-001   -1.23270E+000
   3.16228E+000    6.25000E-002    7.08566E-001   -1.19230E+000
   3.16228E+000    8.75000E-002    5.31301E-001   -1.13790E+000
   3.16228E+000    1.12500E-001    3.76526E-001   -1.07300E+000
   3.16228E+000    1.37500E-001    2.42958E-001   -1.00066E+000
   3.16228E+000    1.62500E-001    1.29167E-001   -9.23509E-001
   3.16228E+000    1.87500E-001    3.36285E-002   -8.43809E-001
   3.16228E+000    2.12500E-001   -4.52328E-002   -7.63445E-001
   3.16228E+000    2.37500E-001   -1.09005E-001   -6.83975E-001
   3.16228E+000    2.62500E-001   -1.59259E-001   -6.06660E-001
   3.16228E+000    2.87500E-001   -1.97523E-001   -5.32492E-001
   3.16228E+000    3.12500E-001   -2.25263E-001   -4.62228E-001
   3.16228E+000    3.37500E-001   -2.43867E-001   -3.96416E-001
   3.16228E+000    3.62500E-001   -2.54636E-001   -3.35424E-001
   3.16228E+000    3.87500E-001   -2.58776E-001   -2.79464E-001
   3.16228E+000    4.12500E-001   -2.57393E-001   -2.28619E-001
   3.16228E+000    4.37500E-001   -2.51490E-001   -1.82862E-001
   3.16228E+000    4.62500E-001   -2.41974E-001   -1.42074E-001
   3.16228E+000    4.87500E-001   -2.29650E-001   -1.06070E-001
   3.16228E+000    5.12500E-001   -2.15230E-001   -7.46038E-002
   3.16228E+000    5.37500E-001   -1.99335E-001   -4.73917E-002
   3.16228E+000    5.62500E-001   -1.82503E-001   -2.41194E-002
   3.16228E+000    5.87500E-001   -1.65194E-001   -4.45405E-003
   3.16228E+000    6.12500E-001   -1.47798E-001    1.19463E-002
   3.16228E+000    6.37500E-001   -1.30638E-001    2.54256E-002
   3.16228E+000    6.62500E-001   -1.13980E-001    3.63229E-002
   3.16228E+000    6.87500E-001   -9.80400E-002    4.49675E-002
