      Frequency        Position         Real(c)         Imag(c)
             Hz              um           mol/L           mol/L
   0.00000E+000    0.00000E+000    1.00000E+001    0.00000E+000
   0.00000E+000    1.25000E-002    9.87500E+000    0.00000E+000
   0.00000E+000    3.75000E-002    9.62500E+000    0.00000E+000
   0.00000E+000    6.25000E-002    9.37500E+000    0.00000E+000
   0.00000E+000    8.75000E-002    9.12500E+000    0.00000E+000
   0.00000E+000    1.12500E-001    8.87500E+000    0.00000E+000
   0.00000E+000    1.37500E-001    8.62500E+000    0.00000E+000
   0.00000E+000    1.62500E-001    8.37500E+000    0.00000E+000
   0.00000E+000    1.87500E-001    8.12500E+000    0.00000E+000
   0.00000E+000    2.12500E-001    7.87500E+000    0.00000E+000
   0.00000E+000    2.37500E-001    7.62500E+000    0.00000E+000
   0.00000E+000    2.62500E-001    7.37500E+000    0.00000E+000
   0.00000E+000    2.87500E-001    7.12500E+000    0.00000E+000
   0.00000E+000    3.12500E-001    6.87500E+000    0.00000E+000
   0.00000E+000    3.37500E-001    6.62500E+000    0.00000E+000
   0.00000E+000    3.62500E-001    6.37500E+000    0.00000E+000
   0.00000E+000    3.87500E-001    6.12500E+000    0.00000E+000
   0.00000E+000    4.12500E-001    5.87500E+000    0.00000E+000
   0.00000E+000    4.37500E-001    5.62500E+000    0.00000E+000
   0.00000E+000    4.62500E-001    5.37500E+000    0.00000E+000
   0.00000E+000    4.87500E-001    5.12500E+000    0.00000E+000
   0.00000E+000    5.12500E-001    4.87500E+000    0.00000E+000
   0.00000E+000    5.37500E-001    4.62500E+000    0.00000E+000
   0.00000E+000    5.62500E-001    4.37500E+000    0.00000E+000
   0.00000E+000    5.87500E-001    4.12500E+000    0.00000E+000
   0.00000E+000    6.12500E-001    3.87500E+000    0.00000E+000
   0.00000E+000    6.37500E-001    3.62500E+000    0.00000E+000
   0.00000E+000    6.62500E-001    3.37500E+000    0.00000E+000
   0.00000E+000    6.87500E-001    3.12500E+000    0.00000E+000
   0.00000E+000    7.12500E-001    2.87500E+000    0.00000E+000
   0.00000E+000    7.37500E-001    2.62500E+000    0.00000E+000
   0.00000E+000    7.62500E-001    2.37500E+000    0.00000E+000
   0.00000E+000    7.87500E-001    2.12500E+000    0.00000E+000
   0.00000E+000    8.12500E-001    1.87500E+000    0.00000E+000
   0.00000E+000    8.37500E-001    1.62500E+000    0.00000E+000
   0.00000E+000    8.62500E-001    1.37500E+000    0.00000E+000
   0.00000E+000    8.87500E-001    1.12500E+000    0.00000E+000
   0.00000E+000    9.12500E-001    8.75000E-001    0.00000E+000
   0.00000E+000    9.37500E-001    6.25000E-001    0.00000E+000
   0.00000E+000    9.62500E-001    3.75000E-001    0.00000E+000
   0.00000E+000    9.87500E-001    1.25000E-001    0.00000E+000
   0.00000E+000    1.00000E+000    0.00000E+000    0.00000E+000
   1.58489E+000    0.00000E+000    1.76059E+000   -1.77163E+000
   1.58489E+000    1.25000E-002    1.63559E+000   -1.77163E+000
   1.58489E+000    3.75000E-002    1.40314E+000   -1.75543E+000
   1.58489E+000    6.25000E-002    1.18808E+000   -1.72533E+000
   1.58489E+000    8.75000E-002    9.90107E-001   -1.68346E+000
   1.58489E+000    1.12500E-001    8.08810E-001   -1.63179E+000
   1.58489E+000    1.37500E-001    6.43678E-001   -1.57210E+000
   1.58489E+000    1.62500E-001    4.94118E-001   -1.50603E+000
   1.58489E+000    1.87500E-001    3.59476E-001   -1.43507E+000
